productTitle,productPrice,subCategoryName
Coles Smooth Blue Cheese | 150g,5.5,Blue Cheese
Castello Intense Blue | 150g,7.5,Blue Cheese
Coles Gorgonzola Dolce | 200g,5.7,Blue Cheese
Coles British Blue Stilton | 150g,5.5,Blue Cheese
Cremeux Blue | 100g,8,Blue Cheese
Castello Blue Cheese | 150g,7.5,Blue Cheese
Castello Danish Blue Cheese | 100g,4.8,Blue Cheese
Castello Creamy Blue Cheese | 300g,14.5,Blue Cheese
Tidbit Gorgonzola Dolce Dop | 200g,7,Blue Cheese
Castello Danish Blue Extra Creamy | 100g,5.8,Blue Cheese
Coles Danish Blue Cheese | 100g,4.4,Blue Cheese
