productTitle,productPrice,subCategoryName
Coles Dutch Maasdam | 260g,6,Firm Cheese
Tasmanian Heritage Cheese Wedge Edam | 180g,6.5,Firm Cheese
Tasmanian Heritage Little Entertainers Havarti | 80g,4.8,Firm Cheese
Jarlsberg Cheese Wedge | 230g,10.5,Firm Cheese
Tasmanian Heritage Cheese Wedge Havarti | 180g,6.5,Firm Cheese
Coles Dutch Edam | 230g,6,Firm Cheese
Coles Dutch Gouda | 265g,6,Firm Cheese
Castello Creamy Havarti | 200g,8,Firm Cheese
Ashgrove Natural Wood Cold Smoked Havarti Cheese Block | 140g,6.5,Firm Cheese
Castello Aged Havarti | 200g,6.5,Firm Cheese
Tasmanian Heritage Cheese Wedge Gouda | 180g,6.5,Firm Cheese
Mifroma Le Gruyere Aop | 150g,10,Firm Cheese
