productTitle,productPrice,subCategoryName
Latina Fresh Veal Tortellini Pasta | 375g,8,Cream
Latina Fresh Beef Ravioli Pasta | 625g,8,Cream
Latina Fresh Lasagne Sheets 8 Pack | 375g,6,Cream
Latina Fresh Beef Ravioli Pasta | 375g,8,Cream
Fantastic Singapore Noodles | 350g,2.6,Cream
Rana Filled Pasta Pumpkin & Cheese Tortellini | 565g,10,Cream
Coles Ricotta Spinach Agnolotti Pasta | 600g,5.5,Cream
Rana Panfry Filled Gnocchi Cheese | 280g,6,Cream
Latina Fresh Ricotta & Spinach Agnolotti Pasta | 625g,8,Cream
Rana Four Cheese Ravioli | 325g,8,Cream
Rana Porcini Mushroom Ravioli | 325g,8,Cream
Coles Perform Pasta Veg | 360g,6.5,Cream
Coles Kitchen Filled Pasta Tortellini Mixed Veg | 630g,9,Cream
Coles Finest Filled Gnocchi Genovese Pesto | 350g,6,Cream
Latina Fresh Gluten Free Beef Ravioli Pasta | 280g,7.5,Cream
Coles Kitchen Filled Pasta Ravioli Beef Tomato | 630g,9,Cream
Grand Italian Potato Gnocchi | 500g,6,Cream
Coles Beef Ravioli Pasta | 600g,5.5,Cream
Coles Kitchen Potato Gnocchi | 500g,5,Cream
Coles Pappardelle | 300g,4.5,Cream
Coles Kitchen Filled Pasta Agnolotti Spinach Ricotta | 630g,9,Cream
Latina Fresh Veal Tortellini Pasta | 625g,8,Cream
Coles Finest Filled Gnocchi Mozz Parmi Reggi & Ricotta | 350g,6,Cream
Fantastic Hokkien Noodles | 450g,3,Cream
Latina Fresh Kids Mini Ravioli Pasta Beef & Vegetable | 200g,6,Cream
Chang's Super Lo-Cal Traditional Noodles | 390g,3,Cream
Coles Kitchen Pumpkin Gnocchi | 500g,5,Cream
Coles Ham & Cheese Tortellini | 600g,5.5,Cream
Coles Pasta Tortellini Veal | 600g,5.5,Cream
Rana Spinach & Ricotta Tortellini | 565g,10,Cream
Coles Finest Filled Pasta Pumpkin | 350g,6,Cream
Rana Pumpkin & Caramelised Onion Ravioli | 325g,8,Cream
Coles Finest Angus Beef Ragu Ravioli | 350g,6,Cream
Rana Panfry Filled Gnocchi Spinach Mozzarella | 280g,6,Cream
Latina Fresh Roast Chicken & Garlic Ravioli Pasta | 625g,8,Cream
Coles Plain Fettucine | 300g,4.5,Cream
Latina Fresh Egg Fettuccine Pasta | 375g,6,Cream
Latina Cheddar Cheese Agnolotti | 375g,8,Cream
Rana Filled Tortellini Basil And Pine Nuts | 325g,8,Cream
Latina Lasagne Ravioli | 625g,8,Cream
25 Degrees South Baby Spinach and Fetta Ravioli Pasta | 325g,5.4,Cream
Rana Spinach & Ricotta Tortellini | 325g,8,Cream
Latina Fresh Spinach & Ricotta Agnolotti Pasta | 375g,8,Cream
Latina Agnolotti Sweet Potato & Parmesan Filled Pasta | 625g,8,Cream
Coles Chicken Tortellini | 600g,5.5,Cream
Latina Fresh Kids Mini Ravioli Pasta Cheese & Vegetable | 200g,6,Cream
Coles Lasagne Sheets Pasta | 375g,4,Cream
Coles Kitchen Filled Pasta Tortellini Veal Bacon | 630g,9,Cream
