productTitle,productPrice,subCategoryName
Pauls Vanilla Custard | 600g,4.3,Custard
Pauls Vanilla Custard 6x150g | 6 pack,6.9,Custard
Pauls Rich Chocolate Double Thick Custard | 900g,6.8,Custard
Pauls Vanilla Custard | 1kg,5.4,Custard
Pauls Strawberry Custard | 70g,1.5,Custard
Dairy Farmers Thick Vanilla Custard Carton | 1kg,4.5,Custard
Pauls French Vanilla Double Thick Custard | 900g,6.8,Custard
Pauls Gluten Free Low Fat Vanilla Custard | 600g,4.3,Custard
Pauls Farmhouse Gold Vanilla Custard | 800g,6.9,Custard
Coles Vanilla Flavour Custard | 600g,1.7,Custard
Pauls Chocolate Custard Pouch | 140g,2.4,Custard
Pauls Custard Golden Gaytime Toffee | 600g,6.5,Custard
Yogo Custard Pouch Chocolate | 120g,2.2,Custard
Pauls Zymil Vanilla Custard | 1kg,6.4,Custard
Pauls Vanilla Custard Pouch | 140g,2.4,Custard
