productTitle,productPrice,subCategoryName
Red Rock Deli Dip Roasted Pumpkin Onion & Cashew | 135g,5,Dips & Pate
Yumis Choice Dip Coriander Chilli Cashews & Lime | 150g,5,Dips & Pate
Obela Dip Hommus Garnished Basil Pesto | 220g,5.5,Dips & Pate
Black Swan Dip Batched Brie Almond & Fig | 150g,6.5,Dips & Pate
Maggie Beer Quince & Champagne Paste | 100g,6.3,Dips & Pate
Yumi's Chilli Lime Aioli | 200g,3.7,Dips & Pate
Yumi's Mayo Aioli Pesto | 200g,3.7,Dips & Pate
Yumi's Choice Guacamole With Jalapeno And Spring Onion Dip | 150g,5,Dips & Pate
Black Swan Crafted Sweet Chilli Jam Dip | 170g,4,Dips & Pate
Yumi's Choice Dip Rocket & Basil Pesto With Roasted Almonds | 150g,5,Dips & Pate
Black Swan Dip Batched Caramelised Onion Relish | 150g,6.5,Dips & Pate
Chris' Heritage Blue Cheese Fig & Pistachio Savoury Dip | 170g,9,Dips & Pate
Black Swan Dip Batched Hommus Chilli & Macadamia | 150g,6.5,Dips & Pate
Chris' Deli Dip Avocado Feta & Jalapeno | 170g,6.5,Dips & Pate
Black Swan Dip Chunky Eggplant Fetta & Almond | 150g,5,Dips & Pate
Black Swan Dip Chunky Spicy Chargrilled Capsicum & Cashew | 150g,5,Dips & Pate
Black Swan Dip Chunky Sweet Potato & Cashews | 150g,5,Dips & Pate
Black Swan Dip Batched Fetta Mint & Honey | 150g,6.5,Dips & Pate
Black Swan Taste Of The World Mexico | 170g,4,Dips & Pate
Dari's Table Pine Nut Hummus Dip | 200g,4.5,Dips & Pate
Castello Spanish Quince Paste | 125g,6,Dips & Pate
Red Rock Deli Dip Singles Caramelised French Onion 3X50G | 150g,4.5,Dips & Pate
Black Swan Crafted Dip Olive Fetta & Chilli | 170g,4,Dips & Pate
Chris' Deli Dip Sundried Tomato Cashew & Feta | 170g,6.5,Dips & Pate
Chris' Heritage Smoked Gouda & Jalapeno | 170g,9,Dips & Pate
Yumi's Mayo Dill Aioli | 200g,3.7,Dips & Pate
