productTitle,productPrice,subCategoryName
Bulla Creamy Australian Style Yoghurt Vanilla | 160g,2.4,Yoghurt
Bulla Creamy Australian Style Yoghurt Mango | 160g,2.4,Yoghurt
Easiyo Greek Style Unsweetened Yoghurt | 170g,5.7,Yoghurt
Brownes Dairy Wiggles Yoghurt Pouch Vanilla | 90g,1,Yoghurt
Vitasoy Soy Yogurt Mango Passionfruit | 140g,2.7,Yoghurt
Yoplait Petit Miam Yoghurt Vanilla Apple | 70g,1.1,Yoghurt
Nakula Natural Coconut Milk Yoghurt | 500g,6,Yoghurt
Coyo Dairy Free Yoghurt Probiotic No Added Sugar Natural | 900g,12,Yoghurt
Easiyo Vanilla Flavour Yoghurt | 230g,5.7,Yoghurt
Pauls Milky Max Chocolate Dairy Snack 12 pack | 1.2kg,8,Yoghurt
Tamar Valley Natural 99.85% Fat Free Yoghurt | 1kg,8,Yoghurt
Vitasoy Soy Yogurt Strawberry | 450g,5.8,Yoghurt
Bulla Creamy Australian Style Yoghurt Strawberry | 160g,2.4,Yoghurt
Jalna Yoghurt Natural | 2kg,14,Yoghurt
Coles Coconut Yoghurt Vanilla | 500g,5.4,Yoghurt
Easiyo Greek Style Unsweetened Yoghurt | 170g,5.7,Yoghurt
Tamar Valley The Creamery Yoghurt Blueberries & Cream | 700g,7.5,Yoghurt
Yog'N Oats Mango & Passionfruit Yoghurt | 150g,3.2,Yoghurt
Pauls Banana Pouch | 70g,1.5,Yoghurt
Easiyo Greek Style Coconut Yoghurt | 240g,5.7,Yoghurt
Easiyo Greek Style Yoghurt Manuka Honey | 230g,5.7,Yoghurt
Kingland Dairy Free Berries & Chia Seeds Greek Style Yoghurt | 500g,5.5,Yoghurt
Siggi's Yoghurt Vanilla | 500g,4.5,Yoghurt
Easiyo Strawberry Yoghurt | 230g,5.7,Yoghurt
Easiyo Yogurt Greek Style Blueberry | 230g,5.7,Yoghurt
Vitasoy Soy Yogurt Vanilla | 450g,5.8,Yoghurt
Easiyo Black Yoghurt Maker | 1 each,20,Yoghurt
Easiyo Natural Unsweetened Yoghurt | 140g,5.7,Yoghurt
Kingland Dairy Free Natural Greek Style Yoghurt | 500g,5.5,Yoghurt
Siggi's Yoghurt Mixed Berry | 125g,2,Yoghurt
