productTitle,productPrice,subCategoryName
Sunny Queen Free Range Large Eggs 18 pack | 900g,10.4,Free Range Eggs
Josh's Rainbow Free Range Eggs 18 Pack | 900g,10.9,Free Range Eggs
Moorabool Valley Free Range Eggs 12 Pack | 700g,7.3,Free Range Eggs
Yarra Valley Free Range Eggs 12 Pack | 700g,7,Free Range Eggs
Josh's Rainbow Free Range Eggs Regular 6 Pack | 350g,4.8,Free Range Eggs
Pace Farm Natural Living Free Range Large Eggs 12 pack | 600g,6.9,Free Range Eggs
Coles Jumbo Free Range Eggs 12 Pack | 800g,6.2,Free Range Eggs
Lucky Chicken Free Range Eggs 12 pack | 600g,7.2,Free Range Eggs
Sunny Queen Free Range Extra Large Eggs 12 pack | 700g,7.2,Free Range Eggs
Sunny Queen Free Range Large Eggs 12 pack | 600g,6.9,Free Range Eggs
Mornington Peninsula Free Range Eggs 12 Pack | 800g,8.2,Free Range Eggs
Surf Coast Cracking Good Ultimate Free Range Eggs 12 Pack | 800g,7.7,Free Range Eggs
Pace Farm Natural Living Eggs Free Range 12 pack | 800g,8.4,Free Range Eggs
Sunny Queen Free Range X-large Eggs 30 Pack | 1.75kg,17.5,Free Range Eggs
Pace Farm Free Range Natural Living Extra Large Eggs 12 pack | 700g,7.15,Free Range Eggs
Mornington Peninsula Free Range 12 Pack | 700g,7.7,Free Range Eggs
Coles Free Range Eggs 12 Pack | 700g,5.6,Free Range Eggs
Sunny Queen Free Range Big Brekkie Browns Eggs 12 pack | 820g,8.6,Free Range Eggs
Coles Free Range Eggs 12 Pack | 600g,5.2,Free Range Eggs
Josh's Rainbow Free Range Eggs 12Pack | 800g,9.6,Free Range Eggs
Sunny Queen Free Range X Large Eggs 6 pack | 350g,4.2,Free Range Eggs
Josh's Rainbow Free Range Eggs 12 Pack | 700g,8.6,Free Range Eggs
Mornington Peninsula Free Range 6 Pack | 330g,4.5,Free Range Eggs
Fyfe Family Farm Free Range Eggs 12 Pack | 700g,6.75,Free Range Eggs
Mornington Peninsula Free Range Eggs 12 Pack | 600g,7,Free Range Eggs
Lucky Chicken Free Range Eggs 12 pack | 700g,7.6,Free Range Eggs
