productTitle,productPrice,subCategoryName
Rana Lasagne Sheets | 250g,5.5,Fresh Pasta & Noodles
Latina Fresh Gluten Free Lasagne Sheets | 280g,7.5,Fresh Pasta & Noodles
Coles Nature's Kitchen Lentil Bolognese Ravioli | 350g,6.5,Fresh Pasta & Noodles
25 Degrees South Native Pumpkin Ricotta Ravioli Pasta | 325g,5.4,Fresh Pasta & Noodles
Coles Natures Kitchen Mushroom Agnolotti | 350g,6,Fresh Pasta & Noodles
Latina Gluten Free Tagliatelle | 280g,7.5,Fresh Pasta & Noodles
Coles Hokkien Noodles | 600g,2.8,Fresh Pasta & Noodles
Rana Burrata & Arrabbiata Ravioli | 300g,8.5,Fresh Pasta & Noodles
Coles Perform Pasta Chicken | 360g,6.5,Fresh Pasta & Noodles
25 Degrees South Victorian Three Cheese Ravioli Pasta | 325g,5.4,Fresh Pasta & Noodles
25 Degrees South Prosciutto & Ricotta Ravioli | 325g,5.4,Fresh Pasta & Noodles
Latina Fresh Gluten Free Ricotta & Spinach Agnolotti Pasta | 280g,7.5,Fresh Pasta & Noodles
Rana Pecorino Pdo & Pepper Tortellini | 300g,8.5,Fresh Pasta & Noodles
Coles Kitchen Singapore Egg Noodles | 300g,3,Fresh Pasta & Noodles
