productTitle,productPrice,subCategoryName
Coles Kitchen Garlic Baguette Twin Pack | 450g,2.9,Chilled Garlic & Specialty Breads
La Famiglia Bread Slices Garlic 9 Pack | 270g,4,Chilled Garlic & Specialty Breads
La Famiglia Garlic Bread | 400g,5,Chilled Garlic & Specialty Breads
Coles Simply Garlic Bread Twin Pack | 450g,2.3,Chilled Garlic & Specialty Breads
La Famiglia  Garlic Bread | 170g,3.5,Chilled Garlic & Specialty Breads
Coles Simply Garlic Bread Slices | 270g,3,Chilled Garlic & Specialty Breads
Coles Kitchen Cheese & Garlic Baguette | 250g,2.6,Chilled Garlic & Specialty Breads
Supreme Quality Foods Roti Mini | 125g,3.5,Chilled Garlic & Specialty Breads
Coles Finest Stone Baked Garlic Ciabatta | 200g,4.5,Chilled Garlic & Specialty Breads
La Famiglia Pane Di Casa Just For 2 | 190g,4.5,Chilled Garlic & Specialty Breads
Senza Gluten & Dairy Free Garlic Bread | 250g,4.5,Chilled Garlic & Specialty Breads
La Famiglia Stone Baked Garlic Ciabatta | 330g,8,Chilled Garlic & Specialty Breads
Coles Kitchen Tear And Share Cheesy Garlic Bread | 350g,4.8,Chilled Garlic & Specialty Breads
La Famiglia Stone Baked Sourdough Garlic Bread | 480g,8,Chilled Garlic & Specialty Breads
La Famiglia Just For 2 Cheesy Garlic Bread | 190g,4.5,Chilled Garlic & Specialty Breads
La Famiglia Cheesy Garlic Bread | 460g,8,Chilled Garlic & Specialty Breads
