productTitle,productPrice,subCategoryName
Pauls Zymil Skim Long Life Milk | 1L,3,Lactose Free-Milk
Pauls Zymil Low Fat Long Life Milk | 1L,3,Lactose Free-Milk
Coles Lactose Free UHT Low Fat Milk | 1L,1.6,Lactose Free-Milk
Pauls Zymil Full Cream Long Life Milk | 1L,3,Lactose Free-Milk
Coles Lactose Free Long Life Full Cream Milk | 1L,1.6,Lactose Free-Milk
Liddells Lactose Free Full Cream Milk | 1L,3,Lactose Free-Milk
Liddells Lactose Free 99% Low Fat Milk | 1L,3,Lactose Free-Milk
Tamar Valley The Creamery Yoghurt Mangoes & Cream | 170g,1.45,Lactose Free-Milk
Cocobella Vanilla Coconut Yoghurt | 150g,2.5,Lactose Free-Milk
Chobani Flip Strawberry Shortcake Yoghurt | 140g,2.5,Lactose Free-Milk
Jalna Greek Style Sweet & Creamy Yoghurt | 1kg,8.3,Lactose Free-Milk
Coles Squeezie Blueberry Yoghurt Pouch | 70g,0.75,Lactose Free-Milk
Gippsland Dairy Smooth & Creamy Twist Yoghurt | 700g,7.9,Lactose Free-Milk
Chobani Fit High Protein Yogurt Pouch Vanilla | 140g,2.2,Lactose Free-Milk
Danone The Ultimate Black Cherry Yoghurt 4x115g | 4 pack,5.75,Lactose Free-Milk
Farmers Union Greek Style Vanilla Yoghurt | 950g,6.5,Lactose Free-Milk
Activia Low Fat Field Berries Yoghurt 4x125g | 500g,5.75,Lactose Free-Milk
Gippsland Dairy Boysenberry Twist Yoghurt | 700g,7.9,Lactose Free-Milk
Farmers Union Regular Greek Yoghurt 4 pack | 640g,6,Lactose Free-Milk
Yoplait Yoghurt Mixed Berry | 1kg,4.9,Lactose Free-Milk
Chobani Fit High Protein Yogurt Pouch Strawberry | 140g,2.2,Lactose Free-Milk
Coles High Protein Yoghurt | 900g,6,Lactose Free-Milk
Yoplait Strawberry Yoghurt | 1kg,4.9,Lactose Free-Milk
Danone The Ultimate Golden Honey Yoghurt 4x115g | 4 Pack,5.75,Lactose Free-Milk
Dairy Farmers Thick & Creamy Strawberry Yoghurt | 150g,2.6,Lactose Free-Milk
Yoplait Zero French Vanilla Yoghurt | 1kg,4.9,Lactose Free-Milk
Chobani Greek Yogurt Natural Light | 160g,2.7,Lactose Free-Milk
Gippsland Dairy Cookies & Cream Mix-Ins | 140g,3.85,Lactose Free-Milk
Chobani Greek Yogurt Pouch Peach | 140g,2.7,Lactose Free-Milk
Danone The Ultimate Blueberry Yoghurt 4x115g | 4 pack,5.75,Lactose Free-Milk
Chobani Fit High Protein Yogurt Pouch Banana | 140g,2.2,Lactose Free-Milk
Chobani Greek Yogurt Pouch Mango | 140g,2.7,Lactose Free-Milk
Gippsland Dairy Blueberry Twist Yoghurt | 700g,7.9,Lactose Free-Milk
Dairy Farmers Thick & Creamy Yoghurt Vanilla | 600g,4.95,Lactose Free-Milk
Vaalia Kids Pouch Yoghurt Blueberry | 140g,2.4,Lactose Free-Milk
Gippsland Dairy Mango & Blood Orange Twist Yoghurt | 700g,7.9,Lactose Free-Milk
Dairy Farmers Thick & Creamy Mango Passionfruit Yoghurt | 600g,4.95,Lactose Free-Milk
Coles Natural Pot Set Yoghurt | 1kg,4.5,Lactose Free-Milk
Dairy Farmers Thick & Creamy Lemon Cream Yoghurt | 150g,2.6,Lactose Free-Milk
Chobani Fit High Protein Greek Yogurt Vanilla | 160g,2.2,Lactose Free-Milk
Jalna Pot Set Yoghurt Natural Greek | 170g,2.4,Lactose Free-Milk
Tamar Valley The Creamery Yoghurt Blueberries & Cream | 170g,1.45,Lactose Free-Milk
Chobani Greek Yogurt Vanilla | 160g,2.7,Lactose Free-Milk
Chobani Greek Yogurt Tropical | 160g,2.7,Lactose Free-Milk
Chobani Greek Yogurt Lemon | 160g,2.7,Lactose Free-Milk
Coles Strawberry Yoghurt | 1kg,4,Lactose Free-Milk
Yoplait Zero Strawberry Yoghurt | 1kg,4.9,Lactose Free-Milk
Farmers Union Greek Style Vanilla Bean Yoghurt | 130g,1.3,Lactose Free-Milk
Vaalia Kids Lactose Free Vanilla Yoghurt Pouch | 140g,2.4,Lactose Free-Milk
Yoplait Vanilla Yoghurt 6x160g | 960g,5.2,Lactose Free-Milk
Chobani Fit High Protein Yogurt Pouch Raspberry | 140g,2.2,Lactose Free-Milk
Chobani Greek Yogurt Limited Edition | 160g,2.7,Lactose Free-Milk
Danone YoPro Pouch Mixed Berries | 150g,3,Lactose Free-Milk
Nestle Milo Energy Dairy Snack | 150g,1.95,Lactose Free-Milk
Chobani Fit High Protein Greek Yogurt Passionfruit | 160g,2.2,Lactose Free-Milk
