productTitle,productPrice,subCategoryName
Big M Dairy HDPE Milk Flavoured Milk | 2L,6.5,Long-Life Flavoured Milk
Rokeby Farms Nas Banana Honey Cinnamon Smoothie | 425mL,3.1,Long-Life Flavoured Milk
Dare No Added Sugar Double Espresso Flavoured Milk | 500mL,3.1,Long-Life Flavoured Milk
Dare Mocha Flavoured Milk | 500mL,3.1,Long-Life Flavoured Milk
Rokeby Farms Protein Smoothie Vanilla Wafer | 425mL,3.1,Long-Life Flavoured Milk
Ice Break Real Coffee Regular Strength Flavoured Milk | 750mL,4,Long-Life Flavoured Milk
Big M Chocolate Flavoured Milk | 600mL,2.4,Long-Life Flavoured Milk
Big M Strawberry Flavoured Milk Bottle | 750mL,4.6,Long-Life Flavoured Milk
Dare Lactose Free Double Expresso Flav Milk | 500mL,3.1,Long-Life Flavoured Milk
Oak Vanilla Malt Flavoured Milk | 600ml,3.9,Long-Life Flavoured Milk
Oak Chocolate Flavoured Milk | 750mL,4,Long-Life Flavoured Milk
Great Ocean Road Chocolate Flavoured Milk | 2L,5.35,Long-Life Flavoured Milk
Big M Chocolate Flavoured Milk | 2L,6.5,Long-Life Flavoured Milk
Dairy Farmers No Added Sugar Chocolate Flavoured Milk | 500mL,2.4,Long-Life Flavoured Milk
Dare Double Espresso Flavoured Milk | 500mL,3.1,Long-Life Flavoured Milk
Dare Triple Espresso Robusta & Arabica Iced Coffee | 500mL,3.1,Long-Life Flavoured Milk
Dare Intense Espresso Flavoured Milk | 500mL,3.1,Long-Life Flavoured Milk
Dare Mocha Flavoured Milk | 750mL,5,Long-Life Flavoured Milk
Dare No Added Sugar Espresso Flavoured Milk | 500mL,3.1,Long-Life Flavoured Milk
Farmers Union Iced Coffee | 600mL,2.4,Long-Life Flavoured Milk
Big M Chocolate Flavoured Milk Bottle | 750mL,4.6,Long-Life Flavoured Milk
Ice Break Extra Shot Real Coffee | 750mL,4,Long-Life Flavoured Milk
Dare No Added Sugar Double Espresso Flavoured Milk | 750mL,5,Long-Life Flavoured Milk
Hunt & Brew Australia Iced Coffee | 400mL,3.95,Long-Life Flavoured Milk
Big M Strawberry Flavoured Milk | 300mL,2.1,Long-Life Flavoured Milk
Oak Chocolate Flavoured Milk | 600mL,3.9,Long-Life Flavoured Milk
Big M Strawberry Flavoured Milk | 600mL,2.4,Long-Life Flavoured Milk
Dare Espresso Flavoured Milk | 2L,5.9,Long-Life Flavoured Milk
Dare Espresso Flavoured Milk | 500mL,3.1,Long-Life Flavoured Milk
Oak Plus NSA Chocolate Flavoured Milk | 500mL,4,Long-Life Flavoured Milk
Rokeby Farms Chocolate Honeycomb Protein Smoothie | 425mL,3.1,Long-Life Flavoured Milk
Ice Break Regular Strength Iced Coffee | 500mL,4.1,Long-Life Flavoured Milk
Oak Strawberry Flavoured Milk | 750mL,4,Long-Life Flavoured Milk
Rokeby Farms Smoothie Dutch Chocolate | 425mL,3.1,Long-Life Flavoured Milk
Dare Hazelnut Latte Flavoured Milk | 750mL,5,Long-Life Flavoured Milk
Big M Banana Flavoured Milk | 600mL,2.4,Long-Life Flavoured Milk
Rokeby Farms Protein Smoothie Double Espresso | 425mL,3.1,Long-Life Flavoured Milk
Oak Strawberry Flavoured Milk | 600mL,3.9,Long-Life Flavoured Milk
Boss Iced Latte Coffee | 237mL,3,Long-Life Flavoured Milk
Dare Double Espresso Flavoured Milk | 750mL,5,Long-Life Flavoured Milk
Oak Classic Chocolate Flavoured Milk | 2L,6.5,Long-Life Flavoured Milk
Dare Espresso Favoured Milk | 750mL,5,Long-Life Flavoured Milk
Dare Caramel Latte Flavoured Milk | 750mL,5,Long-Life Flavoured Milk
Industry Cold Brew Coffee Can | 250mL,3.9,Long-Life Flavoured Milk
Big M Hokey Pokey | 500mL,2.4,Long-Life Flavoured Milk
Ice Break Extra Shot Real Coffee | 500mL,4.1,Long-Life Flavoured Milk
Big M Strawberry Flavoured Milk | 2L,6.5,Long-Life Flavoured Milk
Great Ocean Road Iced Coffee Flavoured Milk | 2L,5.35,Long-Life Flavoured Milk
Farmers Union Iced Coffee | 2L,6.5,Long-Life Flavoured Milk
Chobani Oat Milk Chocolate | 1L,5,Long-Life Flavoured Milk
