productTitle,productPrice,subCategoryName
Devondale Skim Long Life Milk | 1L,2.2,Long-Life-Milk
Coles Australian Lite Long Life Milk | 1L,1.6,Long-Life-Milk
Coles Australian Full Cream Long Life Milk | 1L,1.6,Long-Life-Milk
Devondale Full Cream Long Life Milk 6 pack | 1.2L,4.8,Long-Life-Milk
A2 Full Cream UHT Milk | 1L,3.9,Long-Life-Milk
Australia's Own A2 Protein Full Cream Milk | 1L,2.8,Long-Life-Milk
Devondale Semi Skim Long Life Milk | 2L,3.9,Long-Life-Milk
Australia's Own Cholesterol Lowering Milk | 1L,2.8,Long-Life-Milk
Devondale Full Cream Long Life Milk | 2L,3.9,Long-Life-Milk
Devondale Full Cream Long Life Milk | 1L,2.2,Long-Life-Milk
Devondale Skim Long Life Milk 6 pack | 1.2L,4.8,Long-Life-Milk
Living Planet Goats Long Life Milk | 1L,4.7,Long-Life-Milk
Devondale Semi Skim Long Life Milk | 1L,2.2,Long-Life-Milk
Coles Australian Skim Long Life Milk | 1L,1.6,Long-Life-Milk
