productTitle,productPrice,subCategoryName
Lewis Road Creamery Whole Milk Powder | 1kg,8.5,Powdered Long Life Milk
Coles Fat Free Instant Skim Milk Powder | 1kg,10,Powdered Long Life Milk
A2 Full Cream Instant Milk Powder | 1kg,19,Powdered Long Life Milk
Coles Full Cream Milk Powder | 1kg,10,Powdered Long Life Milk
Devondale Instant Full Cream Milk Powder | 1kg,16.5,Powdered Long Life Milk
Danone YoPro Pouch Mango | 150g,3,Powdered Long Life Milk
Farmers Union Yoghurt Peach 130g | 130g,1.3,Powdered Long Life Milk
Chobani Fit High Protein Greek Yogurt Tropical | 160g,2.2,Powdered Long Life Milk
Cocobella Coconut Passionfruit Yoghurt | 150g,2.5,Powdered Long Life Milk
Danone YoPro Pouch Passionfruit | 150g,3,Powdered Long Life Milk
Danone The Ultimate Succulent Strawberry Yoghurt 4x115g | 4 pack,5.75,Powdered Long Life Milk
Chobani Fit High Protein Greek Yogurt Pouch Tropical | 140g,2.2,Powdered Long Life Milk
Pauls Kids Vanilla Yoghurt | 70g,0.9,Powdered Long Life Milk
Gippsland Dairy Yogurt Mixed Berry | 700g,7.9,Powdered Long Life Milk
Activia Low Fat Vanilla Yoghurt 4x125g | 500g,5.75,Powdered Long Life Milk
Chobani Greek Yogurt Natural Whole Milk | 907g,6.3,Powdered Long Life Milk
YoPro Yoghurt Pouch Banana | 150g,3,Powdered Long Life Milk
Yoplait Zero Classic Yoghurt 6x160g | 960g,5.2,Powdered Long Life Milk
Dairy Farmers Thick & Creamy Caramelised Fig Yoghurt | 600g,4.95,Powdered Long Life Milk
Danone Yopro Strawberry Yoghurt Tub | 700g,7.5,Powdered Long Life Milk
YoGo Chocolate & M&M's Mini Dessert | 150g,3.2,Powdered Long Life Milk
Dairy Farmers Thick & Creamy Strawberry Yoghurt | 600g,4.95,Powdered Long Life Milk
Gippsland Dairy Strawberry Cream Twist Yoghurt | 700g,7.9,Powdered Long Life Milk
Chobani Fit High Protein Greek Yogurt Vanilla | 680g,7,Powdered Long Life Milk
Danone The Ultimate Tropical Mango Yoghurt 4x115g | 4 pack,5.75,Powdered Long Life Milk
Farmers Union Greek Style Passionfruit Yoghurt Pouch | 130g,1.3,Powdered Long Life Milk
Vaalia Kids Yoghurt Pouch Honeycomb | 140g,2.4,Powdered Long Life Milk
Activia Low Fat Mango Yoghurt 4x125g | 500g,5.75,Powdered Long Life Milk
Gippsland Dairy Boysenberry Twist Yoghurt | 160g,2.4,Powdered Long Life Milk
Yoplait Zero Berry Harvest Yoghurt 6x160g | 960g,5.2,Powdered Long Life Milk
Danone Ultimate Greek Yoghurt Limited Edition 4 pack | 460g,5.75,Powdered Long Life Milk
Vaalia French Vanilla Low Fat Yoghurt | 900g,5.5,Powdered Long Life Milk
Tamar Valley Kids Natural Greek Tropical Yoghurt Pouch | 110g,1.6,Powdered Long Life Milk
Danone Yopro Mango Yoghurt | 160g,3,Powdered Long Life Milk
Dairy Farmers Thick & Creamy Classic Vanilla Yoghurt | 150g,2.6,Powdered Long Life Milk
Danone Yopro Salted Caramel Flavoured Yoghurt | 160g,3,Powdered Long Life Milk
Chobani Fit High Protein Greek Yogurt Blueberry | 160g,2.2,Powdered Long Life Milk
Chobani Fit High Protein Greek Yogurt Strawberry | 160g,2.2,Powdered Long Life Milk
Vaalia Probiotics Banana Kids Yoghurt Pouch | 140g,2.4,Powdered Long Life Milk
Chobani Flip Cookies & Cream Crunch Yoghurt | 140g,2.5,Powdered Long Life Milk
Tamar Valley Kids Greek Pouch Yoghurt | 110g,1.6,Powdered Long Life Milk
Dairy Farmers Thick & Creamy Mango Passionfruit Yoghurt | 150g,2.6,Powdered Long Life Milk
Danone YoPro Strawberry Yoghurt | 160g,3,Powdered Long Life Milk
Gippsland Dairy Strawberry Waffle Mix-Ins | 140g,3.85,Powdered Long Life Milk
Chobani Greek Yogurt Coconut | 160g,2.7,Powdered Long Life Milk
Tamar Valley Kids Greek Natural Raspberry Yoghurt Pouch | 110g,1.6,Powdered Long Life Milk
YoPro Yoghurt Pouch Vanilla | 150g,3,Powdered Long Life Milk
Dairy Farmers Thick & Creamy Yoghurt Mango & Finger Lime | 140g,2.6,Powdered Long Life Milk
Danone YoPro Vanilla Yoghurt | 160g,3,Powdered Long Life Milk
Gippsland Dairy Blueberry Twist Yoghurt | 160g,2.4,Powdered Long Life Milk
Tamar Valley Greek Yoghurt | 1kg,8,Powdered Long Life Milk
Gippsland Dairy Toffee & Honeycomb Twist Yoghurt | 700g,7.9,Powdered Long Life Milk
Coles Peach & Mango Yoghurt | 1kg,4,Powdered Long Life Milk
