productTitle,productPrice,subCategoryName
Sanitarium So Good Long Life Lite Soy Milk 1L | 1L,2.2,Soy Milk Long Life Milk
Sanitarium So Good Barista Soy UHT | 1L,3,Soy Milk Long Life Milk
Sanitarium So Good Long Life Regular Soy Milk | 1L,2.2,Soy Milk Long Life Milk
Bonsoy Soy Milk | 1L,4.9,Soy Milk Long Life Milk
Vitasoy Natural Creamy Long Life Soy Milk 1L | 1L,3,Soy Milk Long Life Milk
Australia's Own Soy Milk Barista | 1L,3.5,Soy Milk Long Life Milk
Coles Drink Soy Regular | 1L,1.15,Soy Milk Long Life Milk
Vitasoy Calci-Plus Long Life Soy Milk 1L | 1L,3,Soy Milk Long Life Milk
Coles Organic Soy Milk | 1L,1.6,Soy Milk Long Life Milk
Vitasoy Protein Plus | 1L,3,Soy Milk Long Life Milk
Black Swan Crafted Spinach And Feta Dip | 170g,4,Soy Milk Long Life Milk
Black Swan Corn Relish Dip | 200g,3.5,Soy Milk Long Life Milk
Black Swan Warming Spinach & Cheese Dip | 180g,4,Soy Milk Long Life Milk
Yumi's Tuna Pate | 200g,5.2,Soy Milk Long Life Milk
Red Rock Deli Dip Roasted Tomato Feta Basil & Cashew | 135g,5,Soy Milk Long Life Milk
Red Rock Deli Classics Sweet Chilli & Sour Cream | 190g,4.8,Soy Milk Long Life Milk
Obela Beetroot And Hommus | 220g,5.5,Soy Milk Long Life Milk
Pilpel Dip Garlic | 310g,5.5,Soy Milk Long Life Milk
Black Swan Crafted Caramelised French Onion Dip | 170g,4,Soy Milk Long Life Milk
Pilpel Hummous Dip | 200g,4.5,Soy Milk Long Life Milk
Pilpel Dip Taramosalata | 310g,5.5,Soy Milk Long Life Milk
Black Swan Hommus Dip | 500g,6,Soy Milk Long Life Milk
Yumi's Choice Smoked Salmon Lemon & Dill | 140g,5,Soy Milk Long Life Milk
Black Swan Crafted Crispy Bacon And Caramelised Onion Dip | 170g,4,Soy Milk Long Life Milk
Obela Classic Tzatziki To Go Dip | 125g,4,Soy Milk Long Life Milk
Black Swan Crafted Dill & Mint Tzatziki Dip | 170g,4,Soy Milk Long Life Milk
Chris' Heritage Gluten Free Goat Cheese & Black Truffle Savoury Dip | 170g,9,Soy Milk Long Life Milk
Chris' Plant Based Dip Guacamole | 200g,3.5,Soy Milk Long Life Milk
Black Swan Dip Roasted Garlic | 200g,3.5,Soy Milk Long Life Milk
Obela Smooth Classic Hommus Dip | 1kg,8,Soy Milk Long Life Milk
Black Swan Warming Cheesy Garlic & Herb Dip | 180g,4,Soy Milk Long Life Milk
Yumis Traditional Hommus | 500g,6.5,Soy Milk Long Life Milk
Black Swan Dip Babaganoush | 200g,3.5,Soy Milk Long Life Milk
Red Rock Deli Dip Classic Cheesy Spinach & Garlic Cob | 190g,4.8,Soy Milk Long Life Milk
Obela Dip Smashed Avocado | 200g,5,Soy Milk Long Life Milk
Black Swan Crafted Beetroot Tzatziki Dip | 170g,4,Soy Milk Long Life Milk
Yumi's Rocket Pesto Hommus Dip | 200g,3.5,Soy Milk Long Life Milk
Yumi's Mini Roasted Capsicum & Cashew Dip 3 Pack | 195g,4.5,Soy Milk Long Life Milk
Yumi's Mini Sweet Potato & Cashew Dip 3x65g | 195g,4.5,Soy Milk Long Life Milk
Red Rock Deli Classics Caramelised French Onion | 190g,4.8,Soy Milk Long Life Milk
Obela Caramelised Onion Hommus  | 220g,5.5,Soy Milk Long Life Milk
Yumi's Mini Avocado Dip 3x65g | 195g,4.5,Soy Milk Long Life Milk
Maggie Beer Quince Paste | 100g,6.3,Soy Milk Long Life Milk
Black Swan Dip Chunky Basil Pesto & Cashew | 150g,5,Soy Milk Long Life Milk
Yumi's Roasted Beetroot Dip | 200g,3.5,Soy Milk Long Life Milk
Red Rock Deli Dip Balsamic Beetroot Feta & Cashew | 135g,5,Soy Milk Long Life Milk
Yumi's Choice Roasted Red Capsicum Pesto Dip | 150g,5,Soy Milk Long Life Milk
Black Swan Dip Reduced Fat French Onion | 200g,3.5,Soy Milk Long Life Milk
Yumi's Egg With Mayo Dip | 200g,3.5,Soy Milk Long Life Milk
Obela Hommus Pistachio Lemon Dukkah | 220g,5.5,Soy Milk Long Life Milk
Obela Classic Guacamole Dip | 220g,5,Soy Milk Long Life Milk
Yumi's Dip Mini French Onion Hommus 3 Pack | 195g,3.5,Soy Milk Long Life Milk
Red Rock Deli Classics Mexican Style Salsa Guacamole | 190g,4.8,Soy Milk Long Life Milk
Chris' Heritage Vintage Cheddar & Caramelised Onion Savoury Dip | 170g,9,Soy Milk Long Life Milk
Fresh Fodder Greek Style Tzatziki Dip | 200g,4,Soy Milk Long Life Milk
Yumi's Classic Dip Baba Ganoosh | 200g,3.5,Soy Milk Long Life Milk
Chris' Plant Based Dip Three Olive | 200g,3.5,Soy Milk Long Life Milk
Dari's Table Harissa Hummus Dip | 200g,4.5,Soy Milk Long Life Milk
