productTitle,productPrice,subCategoryName
Pauls Bluey Chocolate Flavoured Milk | 250mL,2.4,Milk Flavoured
Hunt & Brew Brazil Iced Coffee | 400mL,3.95,Milk Flavoured
Boss Vanilla Latte Coffee | 237mL,3,Milk Flavoured
Pauls Zymil Chocolate Flavoured Milk | 400mL,4,Milk Flavoured
Oak Caramel Coffee Flavoured Milk | 600mL,3.9,Milk Flavoured
Impressed Oat Shake Chocolate | 500mL,4.15,Milk Flavoured
Ice Break Single Shot Espresso | 320mL,2,Milk Flavoured
Oak Plus No Added Sugar Vanilla Flavoured Milk With 30g Protein | 500mL,4,Milk Flavoured
Boss Iced Long Black Coffee | 237mL,3,Milk Flavoured
St. Ali Original Iced Coffee | 480mL,6,Milk Flavoured
Oak Iced Coffee Flavoured Milk | 600mL,3.9,Milk Flavoured
Oak Golden Gaytime Flavoured Milk | 600mL,3.9,Milk Flavoured
Boss Double Espresso Coffee | 237mL,3,Milk Flavoured
Sanitarium Up & Go Choc Energize | 500mL,4.4,Milk Flavoured
180 Nutrition Good Sport Chocolate | 350mL,3,Milk Flavoured
Hunt And Brew Ethiopia Black Coffee | 400mL,3.95,Milk Flavoured
Oak Lactose Free Chocolate Milk | 600mL,3.9,Milk Flavoured
Ice Break Iced Coffee Lactose Free | 500mL,4.1,Milk Flavoured
Boss Caramel Coffee | 237mL,3,Milk Flavoured
Big M Coffee Flavoured Milk | 600mL,2.4,Milk Flavoured
Big M Dairy HDPE Milk Flavoured Milk | 2L,6.5,Milk Flavoured
Vitasoy Oat Cafe Latte | 330mL,3.6,Milk Flavoured
Pauls Ice Break Regular Strength Iced Coffee Flavoured Milk | 2L,6.5,Milk Flavoured
Hunt & Brew Peru Mocha Iced Coffee | 400mL,3.95,Milk Flavoured
Ice Break Sugar Ice Coffee | 750mL,4,Milk Flavoured
Boss Coffee Rainbow Mountain Blend | 179mL,3,Milk Flavoured
Dare Double Esspresso No Added Sugar | 300mL,3,Milk Flavoured
Vitasoy Almond Iced Chocolate | 330mL,3.5,Milk Flavoured
Ice Break Double Shot Espresso | 320mL,2,Milk Flavoured
Industry Cold Brew Coffee Can | 250mL,3.9,Milk Flavoured
Bubble Milk Tea Brown Sugar With Tapioca Pearls | 350mL,4.5,Milk Flavoured
Vitasoy Almond Iced Coffee Double Espresso | 330mL,2.5,Milk Flavoured
Pauls Bluey Banana Flavoured Milk | 250mL,2.4,Milk Flavoured
Impressed Oat Shake Strawberry | 500mL,4.15,Milk Flavoured
Pauls Bluey Strawberry Flavoured Milk | 250mL,2.4,Milk Flavoured
First Press Cold Drip 10 Shot Coffee | 500mL,12.95,Milk Flavoured
Rokeby Farms Smoothie Dutch Chocolate | 425mL,3.1,Milk Flavoured
Dare Mocha Flavoured Milk | 500mL,3.1,Milk Flavoured
Big M Strawberry Flavoured Milk Bottle | 750mL,4.6,Milk Flavoured
Oak Chocolate Flavoured Milk | 750mL,4,Milk Flavoured
Dare Mocha Flavoured Milk | 750mL,5,Milk Flavoured
Big M Strawberry Flavoured Milk | 600mL,2.4,Milk Flavoured
Dare Espresso Flavoured Milk | 2L,5.9,Milk Flavoured
Hunt & Brew Australia Iced Coffee | 400mL,3.95,Milk Flavoured
Boss Iced Latte Coffee | 237mL,3,Milk Flavoured
Big M Chocolate Flavoured Milk | 600mL,2.4,Milk Flavoured
Oak Classic Chocolate Flavoured Milk | 2L,6.5,Milk Flavoured
Oak Vanilla Malt Flavoured Milk | 600ml,3.9,Milk Flavoured
Big M Chocolate Flavoured Milk | 2L,6.5,Milk Flavoured
Industry Cold Brew Coffee Can | 250mL,3.9,Milk Flavoured
Ice Break Extra Shot Real Coffee | 500mL,4.1,Milk Flavoured
Dare Triple Espresso Robusta & Arabica Iced Coffee | 500mL,3.1,Milk Flavoured
Big M Strawberry Flavoured Milk | 300mL,2.1,Milk Flavoured
Rokeby Farms Protein Smoothie Vanilla Wafer | 425mL,3.1,Milk Flavoured
Oak Strawberry Flavoured Milk | 600mL,3.9,Milk Flavoured
Ice Break Extra Shot Real Coffee | 750mL,4,Milk Flavoured
Dare Caramel Latte Flavoured Milk | 750mL,5,Milk Flavoured
Big M Strawberry Flavoured Milk | 2L,6.5,Milk Flavoured
Dare No Added Sugar Double Espresso Flavoured Milk | 500mL,3.1,Milk Flavoured
Dare Espresso Favoured Milk | 750mL,5,Milk Flavoured
Dairy Farmers No Added Sugar Chocolate Flavoured Milk | 500mL,2.4,Milk Flavoured
Dare Espresso Flavoured Milk | 500mL,3.1,Milk Flavoured
Rokeby Farms Nas Banana Honey Cinnamon Smoothie | 425mL,3.1,Milk Flavoured
Big M Hokey Pokey | 500mL,2.4,Milk Flavoured
Dare Lactose Free Double Expresso Flav Milk | 500mL,3.1,Milk Flavoured
Chobani Oat Milk Chocolate | 1L,5,Milk Flavoured
Dare Intense Espresso Flavoured Milk | 500mL,3.1,Milk Flavoured
Farmers Union Iced Coffee | 600mL,2.4,Milk Flavoured
Oak Strawberry Flavoured Milk | 750mL,4,Milk Flavoured
Dare Hazelnut Latte Flavoured Milk | 750mL,5,Milk Flavoured
Rokeby Farms Chocolate Honeycomb Protein Smoothie | 425mL,3.1,Milk Flavoured
Oak Chocolate Flavoured Milk | 600mL,3.9,Milk Flavoured
