productTitle,productPrice,subCategoryName
Pauls Physical Reduced Fat Hi Calcium Milk | 2L,5.8,Skim & Low Fat Milk
Pauls Rev Low Fat Milk Carton | 1L,3.5,Skim & Low Fat Milk
A2 Dairy Light Milk | 3L,9.9,Skim & Low Fat Milk
Coles Lite Reduced Fat Milk | 2L,3.1,Skim & Low Fat Milk
Coles Lite Milk Bottle | 1L,1.6,Skim & Low Fat Milk
Pauls Rev Low Fat Milk | 2L,5.3,Skim & Low Fat Milk
Great Ocean Road Fresh Low Fat Milk | 2L,4.7,Skim & Low Fat Milk
Pauls Smarter White Milk Only 2% Fat | 1L,3.2,Skim & Low Fat Milk
Pauls Physical High Calcium Reduced Fat Milk Carton | 1L,3.6,Skim & Low Fat Milk
Pauls Skinny Milk | 2L,5.4,Skim & Low Fat Milk
Pauls Smarter White Milk | 3L,6.95,Skim & Low Fat Milk
The Complete Dairy High Protein Light Milk | 1L,3.6,Skim & Low Fat Milk
Pura Light Start Milk | 3L,6.3,Skim & Low Fat Milk
Coles Lite Reduced Fat Milk | 3L,4.5,Skim & Low Fat Milk
Great Ocean Road Fresh Skim Milk | 2L,4.7,Skim & Low Fat Milk
Coles Skim Milk Bottle | 1L,1.6,Skim & Low Fat Milk
Devondale Light Milk | 2L,4.2,Skim & Low Fat Milk
Pauls Smarter White Milk | 2L,4.85,Skim & Low Fat Milk
Devondale Light Milk | 3L,5.95,Skim & Low Fat Milk
The Complete Dairy High Protein Full Cream Milk | 1L,3.6,Skim & Low Fat Milk
Pura Light Start Milk | 2L,4.7,Skim & Low Fat Milk
