productTitle,productPrice,subCategoryName
Sanitarium So Good Chilled Regular Soy Milk | 1L,2.8,Soy & Almond Milk
Vitasoy Ricemilk Unsweetened Chilled | 1L,3.3,Soy & Almond Milk
Vitasoy Soy Milky Regular Chilled | 1L,2.85,Soy & Almond Milk
Vitasoy Almond Milky Low Sugar | 1L,3.1,Soy & Almond Milk
Goodrich Creamy Barista Almond Milk | 1L,4.8,Soy & Almond Milk
Annie's Orchard Unsweetened Almond Milk | 1L,2.2,Soy & Almond Milk
Vitasoy Calci-Plus Soymilk Chilled | 1L,3.35,Soy & Almond Milk
Annie's Orchard Unsweetened Oat Milk | 1L,2.2,Soy & Almond Milk
Nutty Bruce Organic Almond & Coconut Milk | 1L,6,Soy & Almond Milk
Nutty Bruce Organic Unsweetened Almond Milk | 1L,6,Soy & Almond Milk
Vitasoy Soy Milky Lite Chilled | 1L,2.85,Soy & Almond Milk
Inside Out Unsweetened Almond Milk | 1L,3.9,Soy & Almond Milk
Vitasoy Unsweetened Almond Milk | 1L,4,Soy & Almond Milk
