productTitle,productPrice,subCategoryName
Rokeby Farms Fitmilk Lactose Free | 1L,3.2,Specialty Milk
A2 Full Cream Milk | 3L,9.9,Specialty Milk
Pauls Zymil Low Fat Milk | 2L,6.8,Specialty Milk
Pauls Zymil Gluten free & lactose Free Full Cream Milk | 2L,6.8,Specialty Milk
Farmhouse  Gold Organic Milk | 1.5L,5.5,Specialty Milk
Caldermeade Farm Goats Milk | 1L,4.5,Specialty Milk
A2 Full Cream Milk | 1L,3.9,Specialty Milk
Australia's Own Unsweetened Organic Coconut Milk | 1L,3.2,Specialty Milk
A2 Light Fat Milk | 1L,3.9,Specialty Milk
Coles Lactose Free Lite Milk | 1L,3.1,Specialty Milk
Coles Organic Lite Milk | 1L,2.4,Specialty Milk
A2 Lactose Free Light Milk | 2L,6.9,Specialty Milk
The Complete Dairy High Protein Light Milk | 1L,3.6,Specialty Milk
The Complete Dairy High Protein Full Cream Milk | 1L,3.6,Specialty Milk
Coles Unsweetened Coconut Milk | 1L,2,Specialty Milk
A2 Lactose Free Full Cream Milk | 1L,3.9,Specialty Milk
Vitasoy Ricemilk Unsweetened Chilled | 1L,3.3,Specialty Milk
Pauls Zymil Lactose Free Skim Milk | 1L,3.9,Specialty Milk
Pureharvest Gluten Free Organic Coco Quench Unsweetened Coconut Milk | 1L,2.15,Specialty Milk
A2 No Fat Milk | 1L,3.9,Specialty Milk
A2 Dairy Full Cream Milk | 2L,6.9,Specialty Milk
Devondale Full Cream Milk | 2L,4.2,Specialty Milk
Dairy Farmers Buttermilk | 600mL,3.05,Specialty Milk
Caprilac Pasteurised Goats Milk | 1L,6.4,Specialty Milk
A2 Light Milk | 2L,6.9,Specialty Milk
A2 Dairy Light Milk | 3L,9.9,Specialty Milk
East Coast Sustainable Dairy Full Cream Milk | 2L,6.45,Specialty Milk
Dairy Farmers Heart Active Milk | 1L,3.9,Specialty Milk
Pauls Zymil Low Fat Milk | 1L,3.9,Specialty Milk
A2 Lactose Free Full Cream Milk | 2L,6.9,Specialty Milk
Green Pastures Full Cream Milk | 2L,4.3,Specialty Milk
Pauls Zymil Lactose Free Full Cream Milk | 1L,3.9,Specialty Milk
Coles Lactose Free Full Cream Milk | 1L,3.1,Specialty Milk
A2 Lactose Free Light Milk | 1L,3.9,Specialty Milk
Big M Lactose Free Chocolate Milk | 500mL,2.4,Specialty Milk
Sanitarium Up & Go Choc Energize | 500mL,4.4,Specialty Milk
