productTitle,productPrice,subCategoryName
Provedore Chorizo Crumb | 100g,5,Packaged Deli Meat
Provedore Salami & Prosciutto Tasting Plate | 100g,7,Packaged Deli Meat
Thomson's Deli Ham And Chicken Luncheon | 1kg,4.3,Packaged Deli Meat
Hans Striker Mild Salami Sticks | 105g,5.5,Packaged Deli Meat
Thomson's Deli Sliced Turkey | 320g,9,Packaged Deli Meat
Provedore Pancetta Crumb | 100g,5,Packaged Deli Meat
Provedore Salami Crumb | 100g,5,Packaged Deli Meat
Don Chicken Breast | 160g,5,Packaged Deli Meat
Coles Australian Made Double Smoked Leg Ham | 150g,5.7,Packaged Deli Meat
Don Liverwurst Latvian | 100g,2.6,Packaged Deli Meat
Thomson's Deli Shaved Leg Ham | 100g,2.3,Packaged Deli Meat
Don Mild Hungarian Salami | 200g,7.5,Packaged Deli Meat
Don Salami Pepperoni | 200g,7.5,Packaged Deli Meat
Thomson's Deli Pepperoni Salami | 200g,6,Packaged Deli Meat
Thomson's Deli Danish Salami | 200g,6,Packaged Deli Meat
Coles Mild Hungarian Salami | 200g,7.4,Packaged Deli Meat
Provedore Spanish Style Tapas | 90g,6,Packaged Deli Meat
Primo Cafe Pork BBQ Tender Roast | 150g,6.3,Packaged Deli Meat
Don Hot Hungarian Salami | 200g,7.5,Packaged Deli Meat
Coles Pepperoni | 200g,7.4,Packaged Deli Meat
Thomson's Deli Devon | 100g,1,Packaged Deli Meat
Thomson's Deli Devon | 1kg,4.3,Packaged Deli Meat
