productTitle,productPrice,subCategoryName
Thomson's Deli Mild Hungarian Salami | 320g,9,Packaged Salami & Kabana
Don Italian Style Shaved Salami | 160g,5,Packaged Salami & Kabana
Primo 25% Salt Reduced Mild Salami | 80g,3.95,Packaged Salami & Kabana
Thomson's Deli Pepperoni Salami | 200g,6,Packaged Salami & Kabana
Hans Striker Mild Salami Sticks | 105g,5.5,Packaged Salami & Kabana
Coles Mild Hungarian Salami | 200g,7.4,Packaged Salami & Kabana
Primo Pepperoni Hot Salami | 80g,3.95,Packaged Salami & Kabana
Primo Gluten Free Cheese Kransky | 250g,5.8,Packaged Salami & Kabana
Provedore Free Range Chorizo | 200g,7.5,Packaged Salami & Kabana
Thomson's Deli Danish Salami | 200g,6,Packaged Salami & Kabana
Coles Spicy Chorizo Salami Knob | 200g,7.4,Packaged Salami & Kabana
Primo Prosciutto | 100g,8,Packaged Salami & Kabana
Primo Original Twiggy Sticks | 200g,7.8,Packaged Salami & Kabana
Provedore Mild Chorizo Salami | 100g,6,Packaged Salami & Kabana
Primo Hot Hungarian Salami | 80g,3.95,Packaged Salami & Kabana
Provedore Pancetta Crumb | 100g,5,Packaged Salami & Kabana
Don Mild Hungarian Salami | 160g,5,Packaged Salami & Kabana
Coles Mild Salami | 200g,7.4,Packaged Salami & Kabana
Don Ready To Eat Kabana Minis | 140g,4,Packaged Salami & Kabana
Provedore Chorizo Crumb | 100g,5,Packaged Salami & Kabana
Provedore Prosciutto | 100g,7,Packaged Salami & Kabana
Primo Danish Salami | 80g,3.95,Packaged Salami & Kabana
Don Lunchbox Sticks | 140g,4,Packaged Salami & Kabana
Provedore Salami Crumb | 100g,5,Packaged Salami & Kabana
Primo Mild Hungarian Salami | 80g,3.95,Packaged Salami & Kabana
Primo Cafe Beef Mild Fajita | 140g,6.3,Packaged Salami & Kabana
