productTitle,productPrice,subCategoryName
Latina Vegetable Harvest Pasta Sauce | 425g,7.5,Italian Meals & Pasta
Ipastai Basil Pesto Sauce | 180g,7,Italian Meals & Pasta
25 Degrees South Native Pumpkin Ricotta Ravioli Pasta | 325g,5.4,Italian Meals & Pasta
Latina Gluten Free Tagliatelle | 280g,7.5,Italian Meals & Pasta
Ipastai Bolognese Sauce | 300g,7,Italian Meals & Pasta
Ipastai Carbonara Sauce | 300g,7,Italian Meals & Pasta
Cucina Classica Spaghetti Meatball | 350g,8.5,Italian Meals & Pasta
Rana Lasagne Sheets | 250g,5.5,Italian Meals & Pasta
Coles Nature's Kitchen Lentil Bolognese Ravioli | 350g,6.5,Italian Meals & Pasta
Rana Pecorino Pdo & Pepper Tortellini | 300g,8.5,Italian Meals & Pasta
Cucina Classica Beef Lasagna | 350g,8.5,Italian Meals & Pasta
Latina Agnolotti Sweet Potato & Parmesan Filled Pasta | 625g,8,Italian Meals & Pasta
Rana Porcini Mushroom Ravioli | 325g,8,Italian Meals & Pasta
Cibo Penne Tagliatelle Al Ragu | 300g,8.5,Italian Meals & Pasta
Coles Kitchen Filled Pasta Tortellini Veal Bacon | 630g,9,Italian Meals & Pasta
Rana Burrata & Arrabbiata Ravioli | 300g,8.5,Italian Meals & Pasta
25 Degrees South Prosciutto & Ricotta Ravioli | 325g,5.4,Italian Meals & Pasta
Coles Kitchen Chicken Pesto Pasta Bake | 350g,8,Italian Meals & Pasta
Rana Four Cheese Ravioli | 325g,8,Italian Meals & Pasta
Latina Cheddar Cheese Agnolotti | 375g,8,Italian Meals & Pasta
Coles Perform Pasta Chicken | 360g,6.5,Italian Meals & Pasta
Coles Natures Kitchen Mushroom Agnolotti | 350g,6,Italian Meals & Pasta
Cucina Classica Rigatoni Bolognese | 320g,8.5,Italian Meals & Pasta
Rana Panfry Filled Gnocchi Cheese | 280g,6,Italian Meals & Pasta
Coles Perform Pasta Veg | 360g,6.5,Italian Meals & Pasta
Cucina Classica All Arrabiata Penne | 300g,8.5,Italian Meals & Pasta
Coles Kitchen Filled Pasta Tortellini Mixed Veg | 630g,9,Italian Meals & Pasta
Coles Spinach & Ricotta Agnolotti | 1.2kg,10,Italian Meals & Pasta
25 Degrees South Victorian Three Cheese Ravioli Pasta | 325g,5.4,Italian Meals & Pasta
Coles Natures Kitchen Lentil Spaghetti Bolognese | 350g,7.5,Italian Meals & Pasta
Rana Filled Tortellini Basil And Pine Nuts | 325g,8,Italian Meals & Pasta
Coles Kitchen Pumpkin Gnocchi | 500g,5,Italian Meals & Pasta
Latina Dy Pasta Sauce Italian Tomato Garlic | 700g,7.5,Italian Meals & Pasta
Coles Finest Angus Beef Ragu Ravioli | 350g,6,Italian Meals & Pasta
Coles Ham & Cheese Tortellini | 600g,5.5,Italian Meals & Pasta
Latina Fresh Gluten Free Beef Ravioli Pasta | 280g,7.5,Italian Meals & Pasta
Latina Fresh Gluten Free Lasagne Sheets | 280g,7.5,Italian Meals & Pasta
Coles Finest Filled Gnocchi Genovese Pesto | 350g,6,Italian Meals & Pasta
Coles Kitchen Filled Pasta Agnolotti Spinach Ricotta | 630g,9,Italian Meals & Pasta
Latina Fresh Gluten Free Ricotta & Spinach Agnolotti Pasta | 280g,7.5,Italian Meals & Pasta
Coles Finest Filled Pasta Pumpkin | 350g,6,Italian Meals & Pasta
Rana Panfry Filled Gnocchi Spinach Mozzarella | 280g,6,Italian Meals & Pasta
25 Degrees South Baby Spinach and Fetta Ravioli Pasta | 325g,5.4,Italian Meals & Pasta
Coles Perform Build Bolognese Sauce | 300g,4.5,Italian Meals & Pasta
Coles Beef Ravioli | 1.2kg,10,Italian Meals & Pasta
Coles Pappardelle | 300g,4.5,Italian Meals & Pasta
Rana Filled Pasta Pumpkin & Cheese Tortellini | 565g,10,Italian Meals & Pasta
Latina Lasagne with Angus Beef & Vegetables | 1.6kg,17.5,Italian Meals & Pasta
