productTitle,productPrice,subCategoryName
Norco Thickened Cream 300ml,3.2,Cream
Flora Thickened Plant Cream 500ml,4.9,Cream
Woolworths Thickened Cream 600ml,4.5,Cream
Bulla Premium Sour Cream 200ml,3.7,Cream
Bulla Dollop Thick Cream Cup 200ml,3.8,Cream
Dairy Farmers Light Sour Cream 250g,3.7,Cream
Norco Sour Cream 250g,3.5,Cream
Flora Thickened Plant Cream 500ml,4.9,Cream
Woolworths Thickened Cream 300ml,2.8,Cream
Bulla Sour Cream 400ml,5.5,Cream
Bulla Cooking Cream 300ml,3.7,Cream
Dairy Farmers Sour Cream 250g,3.7,Cream
Bulla Thickened Cream 600ml,5.35,Cream
Woolworths Light Thickened Cream 600ml,4.5,Cream
Pauls Zymil Thickened Cream Lactose Free 300ml,4.1,Cream
Woolworths Light Sour Cream 300ml,3.25,Cream
Bulla Light Sour Cream 200ml,3.7,Cream
Bulla Creme Fraiche 200ml,5,Cream
Dairy Farmers Thickened Cream 300ml,3.4,Cream
Bulla Sour Cream Light 400ml,5.5,Cream
Woolworths Sour Cream 300ml,3.25,Cream
Bulla Light Thickened Cream 300ml,2.85,Cream
Bulla Double Cream 200ml,4.8,Cream
Pauls Zymil Light Thickened Cream Lactose Free 300ml,4.1,Cream
Woolworths Light Thickened Cream 300ml,2.8,Cream
Bulla Sour Cream Light Lactose Free 200g,4.1,Cream
Woolworths Whipped Cream 250g,5.6,Cream
Dairy Farmers Pure Cream 500ml,5.5,Cream
Pura Double Cream 300ml,6,Cream
Woolworths Dollop Cream 300ml,4.4,Cream
Pura Thick Cream Dollop 300ml,4.7,Cream
