productTitle,productPrice,subCategoryName
Foster Clark's Original Recipe Vanilla Flavoured Liquid Custard 1l,5.8,Custard
South Australian Gourmet Food Company Vanilla Custard 500g,3.3,Custard
Pauls Custard Vanilla 2kg,8.8,Custard
Foster Clark's Snak Pack Chocolate Flavoured Custard Pouch 120g,1.9,Custard
Pauls Chupa Chups Custard Strawberry & Cream 600g,6.5,Custard
Pauls Custard Pouch Bluey Strawberry 70g,1.9,Custard
Pauls Custard Violet Crumble 600g,6.5,Custard
Pauls Farmhouse Gold Custard Vanilla 800g,6.9,Custard
Pauls Custard Pouch Bluey Vanilla 70g,1.9,Custard
Pauls Double Thick Custard Rich Chocolate 900g,5.3,Custard
Foster Clark's Snak Pack Vanill Flavoured Custard Pouch 120g,1.9,Custard
Pauls Custard Vanilla 1kg,5.4,Custard
Pauls Zymil Custard Vanilla 1kg,6.4,Custard
Woolworths Vanilla Custard 97% Fat Free 1kg,2.85,Custard
Pauls Custard Pouch Vanilla 140g,2.4,Custard
Pauls Double Thick Custard French Vanilla 900g,5.3,Custard
Foster Clark's Snack Pack Pouch Strawberry Flavoured Custard 120g,1.9,Custard
Foster Clark's Seriously Creamy Egg Custard Powder Mix 75g,3.5,Custard
South Australian Gourmet Food Company Strawberry Custard 120g,1.5,Custard
Dairy Farmers Vanilla Custard 1kg,4.9,Custard
Foster Clark's Custard Powder 350g,2.75,Custard
South Australian Gourmet Food Company Banana Custard 120g,1.5,Custard
Pauls Golden Gaytime Inspired Toffee Flavoured Custard 600g,6.5,Custard
Pauls Custard Pouch Bluey Chocolate 70g,1.9,Custard
Woolworths Vanilla Custard Powder 300g,2.5,Custard
Pauls Banana Custard Banana 70g,1.9,Custard
Pauls Custard Snack Pack Vanilla 150gx 6 Pack,7.9,Custard
Pauls Custard Pouch Chocolate 140g,2.4,Custard
Pauls Custard Vanilla 600g,4.3,Custard
Coyo Dairy Free Coconut Custard Vanilla 500g,6.5,Custard
