productTitle,productPrice,subCategoryName
Chris' Red Capsicum & Cashew Dip & Spread 200g,4.5,Dips
Yumi's Tuna Mousse Dip 200g,5.2,Dips
Tiffany's Kitchen Avocado Dip 200g,3,Dips
Chris' Dips Hommus 60g X3 Pack,3.35,Dips
Red Rock Deli Classics Cheesy Spinach & Garlic Cob Dip 190g,4.8,Dips
Obela Tzatziki To Go Classic & Sakata Crackers 125g,4,Dips
Chris' Traditional French Onion 200g,4.5,Dips
"Red Rock Deli Roasted Pumpkin, Caramelised Onion & Cashews 135g",5,Dips
Yumi's Traditional Garlic Dip 200g,3,Dips
Chris' Homestyle Dip & Spread Tzatziki 3 Pack,3.5,Dips
"Chris' Heritage Dips Blue Cheese, Fig & Pistachio 170g",8,Dips
Yumi's Creamed Spinach Dip 200g,3,Dips
Yumi's Hommus Roasted Garlic 200g,3,Dips
Yumi's Dip Or Create Basil & Rocket Pesto 100g,3.5,Dips
Red Rock Deli Classics Caramelised French Onion 190g,4.8,Dips
Obela Sweet Beetroot Garnished Hommus 220g,5.5,Dips
Obela Everday Smooth Classic Hommus 450g,5.85,Dips
Philadelphia Sweet Chilli Cream Cheese Pourover Tub 250g,4.5,Dips
Chris' Dips Tzatziki & Roasted Garlic 200g,4.5,Dips
Willow Farm Dip French Onion 200g,2.4,Dips
Obela Tzatziki Dip Classic 220g,5.5,Dips
Nuffin Hommus Dip 200g,4,Dips
South Cape Herb & Garlic Cream Cheese 200g,5.1,Dips
Fresh Fodder Hommous Dip 200g,3.5,Dips
Nuffin Capsicum & Onion Dip 200g,4,Dips
Chris' Dips Sundried Tomato 200g,4.5,Dips
Nuffin Chive & Onion Dip 200g,4,Dips
"Red Rock Deli Balsamic Beetroot, Fetta & Cashews Dip 135g",5,Dips
Nuffin Hommus Dip 200g,4,Dips
Woolworths Spring Onion & Chive Cream Cheese 200g,3.9,Dips
Obela Hommus 1kg,8,Dips
Chris' Dips Three Olive 200g,4.5,Dips
Yumi's Eggplant Mediterranean Dip 200g,3,Dips
Obela Smooth Classic Hommus To Go Singles 60g X3 Pack,3.8,Dips
Yumi's Traditional Middle Eastern Hommus Dip 200g,3,Dips
Willow Farm Avocado Dip 200g,2.4,Dips
"Red Rock Deli Basil Pesto, Pecorino & Cashews 135g",5,Dips
"Red Rock Deli Thai Chilli, Lime & Cashews Lime & Cashews 135g",5,Dips
