productTitle,productPrice,subCategoryName
Puregg Free Range Liquid Egg White 500g,10,Eggs
Pace Farm 12 Jumbo Free Range Eggs 800g,8.4,Eggs
Hilltops 12 Free Range Eggs 700g,12.5,Eggs
Lake Macquarie 12 Jumbo Free Range Eggs 800g,8.3,Eggs
Lake Macquarie 6 Large Free Range Eggs 350g,4.25,Eggs
Simply Eggs 12 Extra Large Cage Free Eggs 700g,5.4,Eggs
Macro 12 Large Pasture Raised Carbon Neutral Free Range Eggs 600g,8.5,Eggs
Straight From The Farm 12 Cage Free Eggs 700g,5.4,Eggs
Pace Farm 12 Extra Large Cage Free Eggs 700g,6.1,Eggs
Manning Valley 18 Large Free Range Eggs 900g,9.65,Eggs
Yallamundi Farm 12 Extra Large Pasture Raised Free Range Eggs 700g,9.7,Eggs
Manning Valley 30 Free Range Eggs 1.65kg,16.9,Eggs
Woolworths 6 Extra Large Free Range Eggs 350g,4.1,Eggs
Pace Farm 6 Large Free Range Eggs 330g,4.4,Eggs
Lake Macquarie 30 Large Free Range Eggs 1.5kg,16,Eggs
Woolworths 12 Large Free Range Eggs 600g,5.2,Eggs
Woolworths 18 Large Cage Free Eggs 900g,7.3,Eggs
Lake Macquarie 12 Extra Large Free Range Eggs 700g,7.5,Eggs
Pace Farm Liberty Eggs 6 Large Cage Free Eggs 330g,3.75,Eggs
Liberty Eggs 12 Jumbo Cage Free Eggs 800g,7,Eggs
Manning Valley 12 Large Free Range Eggs 600g,6.7,Eggs
Macro 12 Large Organic Australian Free Range Eggs 600g,10.5,Eggs
Yallamundi Farm 6 Large Organic Free Range Eggs 300g,6.8,Eggs
Yallamundi Farm 12 Organic Jumbo Free Range Eggs 800g,14,Eggs
Woolworths 12 X-large Free Range Eggs 700g,5.6,Eggs
Manning Valley 12 Extra Large Free Range Eggs 700g,7.15,Eggs
Liberty Eggs 18 Large Cage Free Eggs 1kg,8.9,Eggs
Sunny Queen Scrambled Egg Mix 500g,4,Eggs
Lake Macquarie 18 Large Free Range Eggs 900g,10.8,Eggs
Yallamundi Farm Organic 12 Extra Large Free Range Eggs 700g,12.5,Eggs
Open Range 12 Large Free Range Eggs 700g,6.2,Eggs
Pace Farm 12 Extra Large Free Range Eggs 700g,7.15,Eggs
Woolworths 12 Extra Large Cage Free Eggs 700g,5,Eggs
Sunny Queen 12 Extra Large Organic Free Range Eggs 700g,11.5,Eggs
Pace Farm 18 Large Free Range Eggs 900g,10.6,Eggs
Sunny Queen Mini Fritters Corn & Zucchini Frozen 200g,8,Eggs
Manning Valley 12 Jumbo Free Range Eggs 800g,7.9,Eggs
Puregg Simply Egg Whites 500g,7.8,Eggs
Sunny Queen 100% Egg Whites 500g,8,Eggs
Pace Farm 6 Large Organic Free Range Eggs 300g,5.95,Eggs
Sunny Queen 12 Extra Large Free Range Eggs 700g,7.2,Eggs
Sunny Queen 18 Large Free Range Eggs 900g,10.4,Eggs
Pace Farm 30 Cage Free Eggs 1.5kg,14,Eggs
