productTitle,productPrice,subCategoryName
Hunter Belle Full Cream Milk Unhomogenised 2l,6.6,Full Cream Milk
Norco Full Cream Milk 2l,4,Full Cream Milk
Woolworths Full Cream Milk 3l,4.5,Full Cream Milk
Woolworths Full Cream Milk 2l,3.1,Full Cream Milk
Pauls Zymil Lactose Free Full Cream Milk 2l,6.8,Full Cream Milk
Dairy Farmers Heart Active Light Milk 1l,3.9,Full Cream Milk
Farmers Own Full Cream Homogenised 2l,3.95,Full Cream Milk
Pauls Smarter White Milk 1l,3.2,Full Cream Milk
The Complete Dairy Full Cream Milk 1l,3.6,Full Cream Milk
Farmers Own Full Cream Milk 3l,5.85,Full Cream Milk
Norco Pure Jersey Milk 2l,6,Full Cream Milk
A2 Milk Full Cream Milk 2l,6.9,Full Cream Milk
Norco Full Cream Milk 3l,5.95,Full Cream Milk
Norco Organic Milk 2l,6,Full Cream Milk
Dairy Farmers Full Cream Milk 2l,4.3,Full Cream Milk
Pauls Farmhouse Gold Full Cream Milk 1.5l,4.4,Full Cream Milk
Pauls Farmhouse Gold Full Cream Milk Unhomogenised 1.5l,4.4,Full Cream Milk
Pauls Zymil Milk 3l,8.9,Full Cream Milk
Pauls Zymil Lactose Free Full Cream Milk 1l,3.9,Full Cream Milk
Macro Organic Full Cream Milk 1l,2.4,Full Cream Milk
Norco Full Cream Milk 1l,2.6,Full Cream Milk
Dairy Farmers Full Cream Milk 3l,6.2,Full Cream Milk
Woolworths Full Cream Milk 1l,1.6,Full Cream Milk
A2 Milk Full Cream Milk 1l,3.9,Full Cream Milk
Riverina Fresh Lactose Free Full Cream Milk 2l,5.8,Full Cream Milk
Pauls Farmhouse Gold Milk 750ml,3.3,Full Cream Milk
Norco Lactose Free Full Cream Milk 2l,6.3,Full Cream Milk
Dairy Farmers Full Cream Milk 1l,2.8,Full Cream Milk
A2 Milk Full Cream Milk Lactose Free 1l,3.9,Full Cream Milk
Riverina Fresh Full Cream Milk 2l,4.4,Full Cream Milk
Pauls Smarter White Milk 2l,4.85,Full Cream Milk
A2 Milk Lactose Free Full Cream Milk 2l,6.9,Full Cream Milk
Norco Full Cream Milk 500ml,1.7,Full Cream Milk
Woolworths Free From Lactose Free Full Cream Milk 1l,3.1,Full Cream Milk
