productTitle,productPrice,subCategoryName
Pure Harvest Organic Oat Creamy 1l,3.2,Long Life Milk
Sanitarium So Good Long Life Unsweetened Almond Coconut Milk 1l,2,Long Life Milk
Vitasoy Original Soy Milk 1l,3,Long Life Milk
Australia's Own Barista Soy Milk 1l,3.5,Long Life Milk
Macro Organic Rice Milk 1l,1.65,Long Life Milk
Sanitarium So Good Barista Edition Oat Milk 1l,4,Long Life Milk
Vitasoy Prebiotic Almond Milk 1l,3.9,Long Life Milk
Macro Organic Coconut Milk Unsweetened 1l,2.2,Long Life Milk
Almond Breeze Unsweetened Almond Milk 1l,3.3,Long Life Milk
Woolworths Unsweetened Almond Milk 1l,2,Long Life Milk
Australia's Own Barista Almond 1l,4.5,Long Life Milk
Australia's Own Unsweetened Almond Milk 1l,3.1,Long Life Milk
Pureharvest Organic Almond Milk 1l,3.6,Long Life Milk
Minor Figures Minor Figures Barista Oat Uht Milk 1l,4.8,Long Life Milk
Vitasoy Rice Milk 1l,3.3,Long Life Milk
Vitasoy Oat Milky Uht Milk 1l,3,Long Life Milk
Pureharvest Almond Milk Unsweetened 1l,3.4,Long Life Milk
So Good High Protein Almond 1l,3.4,Long Life Milk
Pureharvest Organic Oat Milk 1l,3,Long Life Milk
Minor Figures Minor Figures Barista Oat Uht Organic Milk 1l,4.9,Long Life Milk
Vitasoy Soy Milky Lite 1l,2.45,Long Life Milk
Vitasoy Prebiotic Oat Milk 1l,3.9,Long Life Milk
Minor Figures Barista Oat Low Sugar Milk 1l,4.4,Long Life Milk
Sanitarium So Good Barista Edition Soy Milk 1l,3,Long Life Milk
Almond Breeze Barista Blend Blue Diamond 1l,3.5,Long Life Milk
Sanitarium So Good Long Life Regular Soy Milk 1l,2.2,Long Life Milk
Califia Farms Oat Barista Blend Uht Milk 1l,3.95,Long Life Milk
So Good Almond Vanilla Milk 1l,1.6,Long Life Milk
Macro Organic Soy Long Life Milk 1l,1.6,Long Life Milk
Sanitarium So Good Barista Edition Almond Milk 1l,4,Long Life Milk
Vitasoy Almond Milky 1l,3,Long Life Milk
Australia's Own Barista Macadamia Milk 1l,4.5,Long Life Milk
Australia's Own Barista Oat Milk 1l,4.5,Long Life Milk
Woolworths Soy Milk 1l,1.15,Long Life Milk
Bonsoy Almond Milk 1l,4.8,Long Life Milk
Sanitarium So Good Long Life Vanilla Bliss Soy Milk 1l,3,Long Life Milk
So Good Chocolate Almond Milk 1l,1.6,Long Life Milk
So Good Chocolate Oat Milk 1l,3.5,Long Life Milk
Pureharvest Organic Malt Free Soy Milk 1l,2,Long Life Milk
Macro Organic Almond Milk 1l,2.5,Long Life Milk
Pureharvest Almond Quench 1l,3.8,Long Life Milk
Vitasoy Oat Milk 1l,3.3,Long Life Milk
Bonsoy Long Life Soy Milk 1l,4.8,Long Life Milk
Pureharvest Coco Quench Coconut Milk 1l,3.8,Long Life Milk
Sanitarium So Good Long Life Lite Soy Milk 1l,2.2,Long Life Milk
Australia's Own Unsweetened Coconut Milk 1l,3.2,Long Life Milk
Sanitarium So Good Long Life Unsweetened Almond Milk 1l,2,Long Life Milk
Vitasoy Almond Milk Unsweetened 1l,3.3,Long Life Milk
Vitasoy Calci Plus Soy Milk 1l,3,Long Life Milk
Vitasoy Soy Milky Regular 1l,2.45,Long Life Milk
Sanitarium So Good Oat No Added Sugar Uht Milk 1l,2.8,Long Life Milk
Macro Organic Oat Milk Unsweetened 1l,2.25,Long Life Milk
Sanitarium So Good Long Life Original Almond Milk 1l,2,Long Life Milk
