productTitle,productPrice,subCategoryName
So Good Chocolate Oat Milk 1l,3.5,Soy & Speciality Milk
Vitasoy Original Soy Milk 1l,3,Soy & Speciality Milk
Pauls Smarter White Milk 1l,3.2,Soy & Speciality Milk
The Complete Dairy Full Cream Milk 1l,3.6,Soy & Speciality Milk
Minor Figures Barista Oat Low Sugar Milk 1l,4.4,Soy & Speciality Milk
Pureharvest Organic Oat Milk 1l,3,Soy & Speciality Milk
Sanitarium So Good Long Life Unsweetened Almond Milk 1l,2,Soy & Speciality Milk
Vitasoy Rice Milk 1l,3.3,Soy & Speciality Milk
Inside Out Unsweetened Oat Milk 1l,3,Soy & Speciality Milk
So Good High Protein Almond 1l,3.4,Soy & Speciality Milk
Australia's Own Barista Oat Milk 1l,4.5,Soy & Speciality Milk
Vitasoy Calcium Enriched Rice Milk 1l,3.3,Soy & Speciality Milk
Pauls Smarter White Milk 2l,4.85,Soy & Speciality Milk
Sanitarium So Good Barista Edition Soy Milk 1l,3,Soy & Speciality Milk
Pauls Zymil Milk 3l,8.9,Soy & Speciality Milk
Vitasoy Soy Milky Lite 1l,2.45,Soy & Speciality Milk
Chobani Oat Milk Barista Edition 1l,4,Soy & Speciality Milk
Woolworths Free From Lactose Free Full Cream Milk 1l,3.1,Soy & Speciality Milk
Macro Organic Almond Milk 1l,2.5,Soy & Speciality Milk
Riverina Fresh Lactose Free Full Cream Milk 2l,5.8,Soy & Speciality Milk
Vitasoy Almond Milk Unsweetened 1l,3.3,Soy & Speciality Milk
Woolworths Unsweetened Almond Milk 1l,2,Soy & Speciality Milk
Pauls Zymil Lactose Free Full Cream Milk 2l,6.8,Soy & Speciality Milk
Vitasoy Prebiotic Oat Milk 1l,3.9,Soy & Speciality Milk
A2 Milk Full Cream Milk Lactose Free 1l,3.9,Soy & Speciality Milk
Yakult Probiotic Drink 10x65ml,7.7,Soy & Speciality Milk
Sanitarium So Good Barista Edition Almond Milk 1l,4,Soy & Speciality Milk
Pureharvest Coco Quench Coconut Milk 1l,3.8,Soy & Speciality Milk
Minor Figures Minor Figures Barista Oat Uht Milk 1l,4.8,Soy & Speciality Milk
"Inside Out Unsweetened Oat Milk With Collagen, Calcium & Prebiotics 1l",5.5,Soy & Speciality Milk
Barista Bruce Oat Milk 1l,4.4,Soy & Speciality Milk
So Good Chocolate Almond Milk 1l,1.6,Soy & Speciality Milk
Australia's Own Barista Macadamia Milk 1l,4.5,Soy & Speciality Milk
Vitasoy Calci Plus Soy Milk 1l,3.4,Soy & Speciality Milk
Norco Lactose Free Full Cream Milk 2l,6.3,Soy & Speciality Milk
Vitasoy Calci Plus Soy Milk 1l,3,Soy & Speciality Milk
Almond Breeze Barista Blend Blue Diamond 1l,3.5,Soy & Speciality Milk
Nutty Bruce Organic Almond Coconut Plant Milk 1l,6,Soy & Speciality Milk
Vitasoy Vitasoy Oat Unsweetened 1l,3.9,Soy & Speciality Milk
Vitasoy Prebiotic Almond Milk 1l,3.9,Soy & Speciality Milk
Pureharvest Organic Almond Milk 1l,3.6,Soy & Speciality Milk
J*st Milk Almond 1l,2,Soy & Speciality Milk
Sanitarium So Good Long Life Unsweetened Almond Coconut Milk 1l,2,Soy & Speciality Milk
Macro Organic Coconut Milk Unsweetened 1l,2.2,Soy & Speciality Milk
