productTitle,productPrice,subCategoryName
Woolworths Four Seasons Coleslaw Coleslaw 400g,4.5,Packaged Salads & Sides
Woolworths Parmesan Crumbed Potatoes 500g,5.5,Packaged Salads & Sides
Woolworths Creamy Potato Salad 400g,5,Packaged Salads & Sides
Woolworths Leafy Mix Salad 200g,3,Packaged Salads & Sides
Woolworths Burger Slaw 350g,6,Packaged Salads & Sides
The Salad Servers Lentil Salad 800g,11.55,Packaged Salads & Sides
The Salad Servers Lentil Salad 800g,11.55,Packaged Salads & Sides
Woolworths Potato Egg & Bacon Salad 350g,6,Packaged Salads & Sides
The Salad Servers Veggie Loaded Fried Rice 800g,11.55,Packaged Salads & Sides
Woolworths Korean Style Salad Kit 400g,5.5,Packaged Salads & Sides
Woolworths Creamy Tomato Pasta Salad Kit 400g,8.5,Packaged Salads & Sides
Woolworths Classic Coleslaw Kit 500g,4.5,Packaged Salads & Sides
Woolworths Kaleslaw Kit 350g,5.5,Packaged Salads & Sides
Woolworths Crunchy Noodle Coleslaw Kit Coleslaw Kit 520g,5.5,Packaged Salads & Sides
Woolworths American Style Slaw Kit 450g,4.5,Packaged Salads & Sides
Woolworths Beetroot Fresh Beetroot 250g,3,Packaged Salads & Sides
Woolworths Creamy Pasta Salad 250g,3.25,Packaged Salads & Sides
Woolworths Cook Roast Mixed Vegetables With Garlic & Rosemary 500g,5.5,Packaged Salads & Sides
Woolworths Classic Coleslaw 400g,5,Packaged Salads & Sides
Woolworths Finely Shredded Coleslaw 300g,3,Packaged Salads & Sides
Woolworths Classic Coleslaw 110g,3,Packaged Salads & Sides
Woolworths Asian Salad Bowl 230g,5,Packaged Salads & Sides
The Salad Servers Lentil Salad 800g,11.55,Packaged Salads & Sides
Just Veg. Carrot Sticks 300g,3.3,Packaged Salads & Sides
Woolworths Mixed Grain Tabbouleh Salad 250g,5.5,Packaged Salads & Sides
Woolworths Quick Cook Potatoes With Garlic & Rosemary 400g,5,Packaged Salads & Sides
Woolworths Baby Rocket 60g,2,Packaged Salads & Sides
Woolworths Greek Salad Kit 270g,5.5,Packaged Salads & Sides
Salad Servers Asian Style Noodles With Crunchy Veg 250g,6.95,Packaged Salads & Sides
Woolworths Moroccan Style Couscous Salad 200g,5.5,Packaged Salads & Sides
Woolworths Rainbow Coleslaw 300g,3,Packaged Salads & Sides
Woolworths Classic Coleslaw 800g,6,Packaged Salads & Sides
Woolworths Leafy Mix Salad 120g,2,Packaged Salads & Sides
The Salad Servers Turmeric Cauliflower & Cranberry Salad 300g,6.95,Packaged Salads & Sides
Woolworths Basil Pesto Pasta Salad Kit 400g,8.5,Packaged Salads & Sides
Woolworths Beetroot & Feta Salad Bowl 200g,5.9,Packaged Salads & Sides
Woolworths Chicken Caesar Salad Bowl 180g,5.9,Packaged Salads & Sides
The Salad Servers Turmeric Cauliflower & Cranberry Salad 300g,6.95,Packaged Salads & Sides
Woolworths Caesar Salad Kit 290g,5.5,Packaged Salads & Sides
Woolworths Baby Spinach & Rocket 60g,2,Packaged Salads & Sides
The Salad Servers Jewelled Saffron Rice 800g,11.55,Packaged Salads & Sides
Woolworths Caesar Style Pasta Salad Kit 400g,8.5,Packaged Salads & Sides
Woolworths Classic Coleslaw 250g,3.25,Packaged Salads & Sides
Woolworths Creamy Potato Salad 250g,3.25,Packaged Salads & Sides
Woolworths Classic Coleslaw 200g,2,Packaged Salads & Sides
The Salad Servers Turmeric Cauliflower & Cranberry Salad 300g,6.95,Packaged Salads & Sides
Woolworths Mexican Style Salad Bowl 220g,5,Packaged Salads & Sides
Woolworths Green Goodness Salad Bowl 240g,5.9,Packaged Salads & Sides
Woolworths Creamy Pasta Salad 400g,5,Packaged Salads & Sides
Woolworths Basil Pesto Pasta Salad 250g,5.5,Packaged Salads & Sides
Woolworths Baby Spinach & Rocket 120g,2.2,Packaged Salads & Sides
Woolworths Creamy Pasta Salad 800g,6,Packaged Salads & Sides
The Salad Servers Quinoa Tabbouleh 300g,6.95,Packaged Salads & Sides
Woolworths Baby Spinach & Kale 300g,5,Packaged Salads & Sides
Woolworths Asian Salad Kit Tub 250g,5.9,Packaged Salads & Sides
Woolworths Creamy Pasta Salad 110g,3,Packaged Salads & Sides
Woolworths Cheesy Macaroni Pasta Salad 350g,6.6,Packaged Salads & Sides
The Salad Servers Lentil Salad 800g,11.55,Packaged Salads & Sides
Woolworths Creamy Potato Salad 800g,6,Packaged Salads & Sides
Woolworths Caesar Salad Bowl 200g,5,Packaged Salads & Sides
The Salad Servers Turmeric Cauliflower & Cranberry Salad 300g,6.95,Packaged Salads & Sides
Woolworths Cobb Salad Bowl 240g,5.9,Packaged Salads & Sides
Woolworths Cook Diced Potato & Pumpkin 500g,5,Packaged Salads & Sides
Woolworths Beetroot & Feta Salad Kit 270g,6.5,Packaged Salads & Sides
Woolworths Garden Salad Bowl 180g,5,Packaged Salads & Sides
Woolworths Chicken Buffalo Salad Bowl 180g,5.9,Packaged Salads & Sides
Woolworths Baby Leaf Rocket 120g,2.2,Packaged Salads & Sides
Woolworths Baby Leaf With Beetroot & Carrot 180g,4,Packaged Salads & Sides
Just Veg. Carrot Shred 300g,3.3,Packaged Salads & Sides
Woolworths Good To Go Free Range Egg & Spinach Protein Pot 90g,4.4,Packaged Salads & Sides
The Salad Servers Salad Bean Medley 300g,6.95,Packaged Salads & Sides
Woolworths Greek Salad Kit With Greek Dressing 400g,8.5,Packaged Salads & Sides
Woolworths Potato Egg & Bacon Salad 750g,10.5,Packaged Salads & Sides
Woolworths Caesar Salad Kit Tub 250g,5.9,Packaged Salads & Sides
The Salad Servers Herby Quinoa & Broccoli With Green Tahini Dressing 300g,6.95,Packaged Salads & Sides
Chan's Yum Cha Pork & Chive Gyoza 250g,6.95,Packaged Salads & Sides
