productTitle,productPrice,subCategoryName
Pasta Master Beef Lasagne 1.3kg,17,Italian Meals
Woolworths Angus Beef & Pork Meatball Rigatoni Chilled Meal 1.3kg,20,Italian Meals
Latina Fresh Ready Meal Angus Beef & Veg Lasagne Chilled Meal 1.6kg,17.5,Italian Meals
Ready Chef Creamy Pasta 350g,5,Italian Meals
Woolworths Beef Lasagne 2kg,13.3,Italian Meals
Woolworths Hearty Vegetable Lasagne 700g,15,Italian Meals
Ready Chef Penne Bolognaise Family Size Bake 1.1kg,11.45,Italian Meals
Ready Chef Penne Bolognaise 350g,5,Italian Meals
Ready Chef Chicken Curry Rice 350g,5,Italian Meals
Woolworths Slow Cooked Beef Ragu Lasagne 400g,11,Italian Meals
Woolworths Slow Cooked Beef Ragu Lasagne 1.3kg,20,Italian Meals
Woolworths Slow Cooked Beef Ragu Lasagne 700g,14.5,Italian Meals
Grand Italian Gnocchi Pesto & Parmesan Premium 400g,7,Italian Meals
Ready Chef Cheesy Pasta Bake 1.1kg,11.45,Italian Meals
Woolworths Fettuccine Carbonara Chilled Meal 350g,7.5,Italian Meals
Woolworths Ricotta & Spinach Cannelloni Chilled Meal 700g,12.7,Italian Meals
Ready Chef Creamy Tomato & Bacon Pasta Bake 1.1kg,11.45,Italian Meals
Woolworths Spaghetti Bolognese Chilled Meal 350g,7.5,Italian Meals
Woolworths Beef Lasagne 350g,7.5,Italian Meals
Woolworths Spaghetti Bolognese Bolognese Chilled Meal 1.1kg,14,Italian Meals
Pasta Master Chicken & Bacon Bake Chilled Meal 1.2kg,17,Italian Meals
Ready Chef Tomato Bacon Pasta 350g,5,Italian Meals
Pasta Master Macaroni Meaty Mac & Cheese Chilled Meal 1.2kg,17,Italian Meals
Woolworths Spinach & Ricotta Tortellini Napolitana Sauce Chilled Meal 350g,7.5,Italian Meals
Woolworths Beef Tortellini With Creamy Mushroom Sauce Chilled Meal 350g,7.5,Italian Meals
