productTitle,productPrice,subCategoryName
Yopro Danone High Protein Yoghurt No Added Sugar Vanilla 700g,7.5,High Protein Yoghurt
Siggi's Yoghurt Pouch Vanilla 150g,2.5,High Protein Yoghurt
Siggi's Yoghurt Strawberry 150g,2.5,High Protein Yoghurt
Pauls Plus Protein Blueberry Yoghurt 160g,2.9,High Protein Yoghurt
Yopro Danone High Protein Yoghurt No Added Sugar Strawberry 160g,2.2,High Protein Yoghurt
Chobani Fit Blueberry Greek Yogurt 160g,2.8,High Protein Yoghurt
Pauls Plus Protein Vanilla Yoghurt 700g,7.8,High Protein Yoghurt
Siggi's Yoghurt Pouch Blueberry 150g,2.5,High Protein Yoghurt
Pauls Plus Protein Chocolate Yoghurt 160g,2.9,High Protein Yoghurt
Yopro Danone High Protein Yoghurt No Added Sugar Vanilla 160g,2.2,High Protein Yoghurt
Pauls Plus Protein Natural Yoghurt 700g,7.8,High Protein Yoghurt
Chobani Fit Passion Fruit Greek Yogurt 160g,2.8,High Protein Yoghurt
Pauls Plus Protein Vanilla Yoghurt 160g,2.9,High Protein Yoghurt
Chobani Fit Salted Caramel Greek Yogurt 160g,2.8,High Protein Yoghurt
Pauls Plus Protein Strawberry Yoghurt 160g,2.9,High Protein Yoghurt
Yopro High Protein Yoghurt Pouch No Added Sugar Vanilla 150g,2.2,High Protein Yoghurt
Yopro Danone High Protein Yoghurt No Added Sugar Salted Caramel 160g,2.2,High Protein Yoghurt
Chobani Fit Raspberry High Protein Greek Yogurt Pouch 140g,2.8,High Protein Yoghurt
Chobani Fit Tropical High Protein Greek Yoghurt Pouch 140g,2.8,High Protein Yoghurt
Yopro Danone High Protein Yoghurt No Added Sugar Plain 700g,7.5,High Protein Yoghurt
Chobani Fit Greek Yogurt Pouch Vanilla Multipack 140g X 8 Pack,16.75,High Protein Yoghurt
Yopro High Protein Yoghurt Pouch No Added Sugar Strawberry 150g,2.2,High Protein Yoghurt
Yopro High Protein Yoghurt Pouch No Added Sugar Passionfruit 150g,2.2,High Protein Yoghurt
Yopro High Protein Yoghurt Pouch No Added Sugar Salted Caramel 150g,2.2,High Protein Yoghurt
Yoplait Protein Vanilla Yoghurt 2 Pack,3.25,High Protein Yoghurt
Chobani Fit Strawberry Greek Yogurt 680g,7,High Protein Yoghurt
Yopro Danone High Protein Yoghurt No Added Sugar Banana 160g,2.2,High Protein Yoghurt
Yopro Perform High Protein Yoghurt No Added Sugar Strawberry 175g,3.7,High Protein Yoghurt
Siggi's Yoghurt Pouch Raspberry 150g,2.5,High Protein Yoghurt
Chobani Fit Vanilla Greek Yogurt 680g,7,High Protein Yoghurt
Yopro High Protein Yoghurt Pouch No Added Sugar Mixed Berries 150g,2.2,High Protein Yoghurt
Yopro Perform High Protein Yoghurt No Added Sugar Mixed Berries 175g,3.7,High Protein Yoghurt
Woolworths High Protein Plain Yoghurt 900g,6,High Protein Yoghurt
Yopro Danone High Protein Yoghurt No Added Sugar Salted Caramel 700g,7.5,High Protein Yoghurt
Siggi's Yoghurt Pouch Mixed Berry 150g,2.5,High Protein Yoghurt
Chobani Fit Natural Greek Yogurt 680g,7,High Protein Yoghurt
Yopro Perform High Protein Yoghurt Mango Passionfuit 175g,3.7,High Protein Yoghurt
Chobani Fit Vanilla Greek Yogurt 160g,2.8,High Protein Yoghurt
Chobani Fit Strawberry Greek Yogurt 160g,2.8,High Protein Yoghurt
Chobani Fit Vanilla Greek Yoghurt Pouch 140g,2.8,High Protein Yoghurt
Chobani Fit Greek Yogurt Pouch Strawberry Multipack 140g X 8 Pack,16.75,High Protein Yoghurt
Chobani Fit Banana High Protein Greek Yoghurt Pouch 140g,2.8,High Protein Yoghurt
Yopro Danone High Protein Yoghurt No Added Sugar Strawberry 700g,7.5,High Protein Yoghurt
Yoplait Protein Strawberry Yoghurt 950g,6.75,High Protein Yoghurt
Chobani Fit Tropical Greek Yogurt 160g,2.8,High Protein Yoghurt
Pauls Plus Protein Strawberry Yoghurt 700g,7.8,High Protein Yoghurt
Chobani Fit Strawberry High Protein Greek Yogurt Pouch 140g,2.8,High Protein Yoghurt
Yopro High Protein Yoghurt Pouch No Added Sugar Banana 150g,2.2,High Protein Yoghurt
