productTitle,productPrice,subCategoryName
Yakult Probiotic Drink 5x65ml,4,Probiotic & Gut Health Yoghurt
Vaalia Probiotics Yoghurt Tropical Fruit 4 Pack,5.3,Probiotic & Gut Health Yoghurt
Activia Danone Probiotic Yoghurt No Added Sugar Mango 125g X 4 Pack,5.75,Probiotic & Gut Health Yoghurt
Vaalia Probiotic Yoghurt Passionfruit 150gx 4 Pack,5.3,Probiotic & Gut Health Yoghurt
Vaalia Probiotics Yoghurt Creamy Mango 150g X 4 Pack,5.3,Probiotic & Gut Health Yoghurt
Farmers Union Greek Style Protein + Prebiotics Strawberry Yoghurt 160g,1.9,Probiotic & Gut Health Yoghurt
Activia Danone Probiotic Yoghurt No Added Sugar Peach 125g X 4 Pack,5.75,Probiotic & Gut Health Yoghurt
Tummify High Strength Probiotic Vanilla Coconut 100ml X 4 Pack,3.25,Probiotic & Gut Health Yoghurt
Pro Live Fermented Probiotic Drink Original 63mlx 10 Pack,6.6,Probiotic & Gut Health Yoghurt
Farmers Union Plus Mango Yoghurt 160g,1.9,Probiotic & Gut Health Yoghurt
Vaalia Probiotic Yoghurt Mango 900g,5.5,Probiotic & Gut Health Yoghurt
Vaalia Probiotic Yoghurt French Vanilla 150gx 4 Pack,5.3,Probiotic & Gut Health Yoghurt
Yakult Probiotic Drink Light 5x65ml,4,Probiotic & Gut Health Yoghurt
Vaalia Probiotics Yoghurt Creamy Strawberry 150g X 4 Pack,5.3,Probiotic & Gut Health Yoghurt
Activia Danone Probiotic Yoghurt No Added Sugar Berries 125g X 4 Pack,5.75,Probiotic & Gut Health Yoghurt
Activia Danone Probiotic Yoghurt No Added Sugar Vanilla 125g X 4 Pack,5.75,Probiotic & Gut Health Yoghurt
Vaalia Probiotic Yoghurt Luscious Berries 900g,5.5,Probiotic & Gut Health Yoghurt
Vaalia Probiotic Yoghurt French Vanilla 900g,5.5,Probiotic & Gut Health Yoghurt
Vaalia Probiotic Yoghurt Natural 900g,5.5,Probiotic & Gut Health Yoghurt
Vaalia Probiotic Lactose Free Yoghurt French Vanilla 900g,5.5,Probiotic & Gut Health Yoghurt
Tummify Original Probiotic Shot 4x100ml,3.25,Probiotic & Gut Health Yoghurt
Farmers Union Plus Vanilla & Honey Yogurt 160g,1.9,Probiotic & Gut Health Yoghurt
Activia Danone Probiotic Yoghurt No Added Sugar Blueberry 125g X 4 Pack,5.75,Probiotic & Gut Health Yoghurt
Vaalia Probiotics Yoghurt Lactose Free Strawberry 900g,5.5,Probiotic & Gut Health Yoghurt
Pro Live Fermented Probiotic Drink Blueberry Flavour 63ml X 10 Pack,6.6,Probiotic & Gut Health Yoghurt
Yakult Probiotic Drink 10x65ml,7.7,Probiotic & Gut Health Yoghurt
Activia Danone Probiotic Yoghurt No Added Sugar Strawberry 125g X 4 Pack,5.75,Probiotic & Gut Health Yoghurt
