productTitle,productPrice,shop,brandName,mainCategoryName,subCategoryName,size
kitkat milk chocolate bar,1.25,coles,KitKat,Confectionary,Chocolate Bars,45g
mars chocolate bar with nougat and caramel,1.1,coles,Mars,Confectionary,Chocolate Bars,47g
cadbury cherry ripe chocolate bar,2.5,coles,Cadbury,Confectionary,Chocolate Bars,44g
snickers chocolate bar peanuts caramel nougat,1.1,coles,Snickers,Confectionary,Chocolate Bars,44g
twix milk chocolate bar with caramel biscuit,1.1,coles,Twix,Confectionary,Chocolate Bars,50g
cadbury turkish delight chocolate bar,2.5,coles,Cadbury,Confectionary,Chocolate Bars,50g
cadbury boost chocolate bar,2.5,coles,Cadbury,Confectionary,Chocolate Bars,50g
cadbury cherry ripe double dip chocolate bar,2.5,coles,Cadbury,Confectionary,Chocolate Bars,40g
milky way chocolate bar whipped nougat,1.1,coles,Milky Way,Confectionary,Chocolate Bars,45g
mandms minis milk chocolate treats tube,1.1,coles,M&Ms,Confectionary,Chocolate Bars,35g
kinder bueno chocolate bar,2.5,coles,Kinder,Confectionary,Chocolate Bars,43g
kitkat chunky milk chocolate bar,1.25,coles,KitKat,Confectionary,Chocolate Bars,50g
cadbury dairy milk chocolate bar,2.5,coles,Cadbury,Confectionary,Chocolate Bars,50g
cadbury picnic chocolate bar,2.5,coles,Cadbury,Confectionary,Chocolate Bars,46g
kinder bueno white chocolate bar,2.5,coles,Kinder,Confectionary,Chocolate Bars,39g
snickers peanut brownie milk chocolate bar,1.1,coles,Snickers,Confectionary,Chocolate Bars,44g
kitkat chunky cookie dough bar,1.25,coles,KitKat,Confectionary,Chocolate Bars,45g
aero peppermint milk chocolate bar,1.25,coles,Aero,Confectionary,Chocolate Bars,40g
cadbury crunchie chocolate bar,2.5,coles,Cadbury,Confectionary,Chocolate Bars,50g
cadbury dairy milk chocolate roll pack,2.5,coles,Cadbury,Confectionary,Chocolate Bars,55g
cadbury flake chocolate bar,2.5,coles,Cadbury,Confectionary,Chocolate Bars,30g
whittakers original peanut slab milk chocolate bar,2.5,coles,Whittakers,Confectionary,Chocolate Bars,50g
cadbury moro chocolate bar,2.5,coles,Cadbury,Confectionary,Chocolate Bars,50g
cadbury twirl chocolate bar,2.5,coles,Cadbury,Confectionary,Chocolate Bars,39g
cadbury marvellous creations jelly popping candy beanies chocolate bar,2.5,coles,Cadbury,Confectionary,Chocolate Bars,50g
kitkat chunky packed with milo milk chocolate bar,1.25,coles,KitKat,Confectionary,Chocolate Bars,45g
life savers raspberry stix,1.0,coles,Life,Confectionary,Chocolate Bars,40g
bounty milk chocolate bar with coconut,1.1,coles,Bounty,Confectionary,Chocolate Bars,56g
toblerone milk chocolate bar,2.5,coles,Toblerone,Confectionary,Chocolate Bars,50g
cadbury dairy milk freddo chocolate,0.5,coles,Cadbury,Confectionary,Chocolate Bars,35g
kitkat milkybar white choc bar,1.25,coles,KitKat,Confectionary,Chocolate Bars,45g
whittakers toasted coconut slab milk chocolate bar,2.5,coles,Whittakers,Confectionary,Chocolate Bars,50g
smarties milk chocolate box,1.25,coles,Smarties,Confectionary,Chocolate Bars,50g
cadbury twirl breakaway chocolate bar,2.5,coles,Cadbury,Confectionary,Chocolate Bars,40g
cadbury dairy milk furry friends chocolate multipack,3.5,coles,Cadbury,Confectionary,Chocolate Bars,100g
reeses peanut butter cups milk chocolate 2 pack,2.5,coles,Reeses,Confectionary,Chocolate Bars,42g
kitkat chunky aero mint milk chocolate bar,1.25,coles,KitKat,Confectionary,Chocolate Bars,45g
chokito milk chocolate caramel bar,1.25,coles,Chokito,Confectionary,Chocolate Bars,50g
milkybar white choc bar,1.25,coles,Milkybar,Confectionary,Chocolate Bars,50g
kitkat chunky gooey caramel milk chocolate bar,1.25,coles,KitKat,Confectionary,Chocolate Bars,48g
nestle peppermint crisp chocolate bar,1.25,coles,Nestlé,Confectionary,Chocolate Bars,35g
cadbury dream white chocolate bar,2.5,coles,Cadbury,Confectionary,Chocolate Bars,50g
chupa chups best of 25 bag,5.5,coles,Chupa,Confectionary,Chocolate Bars,300g
violet crumble gluten free chocolate bar,1.25,coles,Violet,Confectionary,Chocolate Bars,50g
cadbury dairy milk breakaway chocolate bar,2.5,coles,Cadbury,Confectionary,Chocolate Bars,44g
kinder chocolate 16 treat share bag,6.0,coles,Kinder,Confectionary,Chocolate Bars,200g
cadbury raspberry slice chocolate bar,2.5,coles,Cadbury,Confectionary,Chocolate Bars,50g
cadbury chomp chocolate bar,0.5,coles,Cadbury,Confectionary,Chocolate Bars,30g
lindt lindor milk chocolate bar,1.25,coles,Lindt,Confectionary,Chocolate Bars,38g
cadbury twirl caramilk chocolate bar,2.5,coles,Cadbury,Confectionary,Chocolate Bars,39g
snickers butterscotch flavoured cho ...,1.1,coles,Snickers,Confectionary,Chocolate Bars,44g
kitkat milk chocolate bar,1.25,coles,KitKat,Confectionary,Chocolate Bars,45g
kitkat chunky milk chocolate bar,1.25,coles,KitKat,Confectionary,Chocolate Bars,50g
mars chocolate bar with nougat and caramel,2.8,coles,Mars,Confectionary,Chocolate Bars,64g
twix xtra milk chocolate bar with cara ...,2.8,coles,Twix,Confectionary,Chocolate Bars,72g
snickers chocolate bar peanuts ca ...,2.8,coles,Snickers,Confectionary,Chocolate Bars,64g
milky way chocolate bar whipped n ...,1.1,coles,Milky Way,Confectionary,Chocolate Bars,45g
europe nougat honey log chocolate bar,2.5,coles,Europe,Confectionary,Chocolate Bars,40g
europe summer roll chocolate bar,2.5,coles,Europe,Confectionary,Chocolate Bars,40g
cadbury dairy milk caramello koala choc ...,0.5,coles,Cadbury,Confectionary,Chocolate Bars,35g
cadbury curly wurly chocolate bar,0.5,coles,Cadbury,Confectionary,Chocolate Bars,21.5g
mandms milk chocolate snack bag,1.1,coles,M&Ms,Confectionary,Chocolate Bars,49g
cadbury caramilk chocolate bar,2.5,coles,Cadbury,Confectionary,Chocolate Bars,45g
cadbury dairy milk caramello chocolate bar,2.5,coles,Cadbury,Confectionary,Chocolate Bars,46g
kinder surprise chocolate egg pink,2.5,coles,Kinder,Confectionary,Chocolate Bars,20g
kinder chocolate 4 treat pack,2.5,coles,Kinder,Confectionary,Chocolate Bars,50g
nestle mint pattie chocolate bar,1.5,coles,Nestlé,Confectionary,Chocolate Bars,20g
cadbury twirl chocolate bar 4 pack,2.5,coles,Cadbury,Confectionary,Chocolate Bars,58g
cadbury dairy milk lamington slices chocolate bar,2.5,coles,Cadbury,Confectionary,Chocolate Bars,45g
cadbury cherry ripe double dip chocolate ...,2.5,coles,Cadbury,Confectionary,Chocolate Bars,40g
milkybar milo choc bar,1.25,coles,Milkybar,Confectionary,Chocolate Bars,38g
cadbury twirl honeycomb sundae ...,2.5,coles,Cadbury,Confectionary,Chocolate Bars,35g
kinder chocolate 6 snack bar pack,5.0,coles,Kinder,Confectionary,Chocolate Bars,126g
reeses peanut butter cup white 2 pack,2.5,coles,Reeses,Confectionary,Chocolate Bars,39g
cadbury dairy milk twirl breakaway ...,2.5,coles,Cadbury,Confectionary,Chocolate Bars,32g
cadbury twirl iced latte chocolate ...,2.5,coles,Cadbury,Confectionary,Chocolate Bars,39g
reeses chocolate wafer sticks,2.5,coles,Reeses,Confectionary,Chocolate Bars,42g
cadbury cherry ripe chocolate bar twin pack,2.5,coles,Cadbury,Confectionary,Chocolate Bars,68g
cadbury turkish delight chocolate bar twin pack,2.5,coles,Cadbury,Confectionary,Chocolate Bars,70g
cadbury cherry ripe berry truffle chocolate ...,2.5,coles,Cadbury,Confectionary,Chocolate Bars,40g
kinder surprise chocolate 3 pack,6.0,coles,Kinder,Confectionary,Chocolate Bars,60g
kinder surprise blue,2.5,coles,Kinder,Confectionary,Chocolate Bars,20g
noshu less sugar milk chocolate peanut and cara ...,3.5,coles,Noshu,Confectionary,Chocolate Bars,42g
mars lamington flavoured chocolate bar,1.1,coles,Mars,Confectionary,Chocolate Bars,47g
reeses caramel big cup,2.5,coles,Reeses,Confectionary,Chocolate Bars,39g
nestle rolo,2.0,coles,Nestlé,Confectionary,Chocolate Bars,52g
tonys chocolonely milk chocolate ...,3.5,coles,Tonys,Confectionary,Chocolate Bars,50g
nomo caramel bar,2.5,coles,Nomo,Confectionary,Chocolate Bars,38g
cadbury crunchie chocolate ...,2.5,coles,Cadbury,Confectionary,Chocolate Bars,80g
cadbury dairy milk chocolate bar,2.5,coles,Cadbury,Confectionary,Chocolate Bars,75g
noshu less sugar dark chocolate cherry and c ...,3.5,coles,Noshu,Confectionary,Chocolate Bars,42g
kinder surprise egg,2.5,coles,Kinder,Confectionary,Chocolate Bars,20g
well naturally no sugar added milk chocolate bar ...,3.15,coles,Well,Confectionary,Chocolate Bars,45g
well naturally no sugar added dark choc ...,3.15,coles,Well,Confectionary,Chocolate Bars,45g
tonys chocolonely milk chocolate ...,3.5,coles,Tonys,Confectionary,Chocolate Bars,47g
noshu less sugar milk chocolate coconut bl ...,3.5,coles,Noshu,Confectionary,Chocolate Bars,42g
cadbury picnic chocolate bars twin pack,2.5,coles,Cadbury,Confectionary,Chocolate Bars,67g
well naturally no sugar added dark chocolate bar ...,3.15,coles,Well,Confectionary,Chocolate Bars,45g
coca-cola classic soft drink bottle,2.3,coles,Coca-Cola,Soft Drinks,,1250ml
kirks pasito passionfruit soft drink 10 pack,14.5,coles,Kirks,Soft Drinks,,375mlx10
fanta pineapple zero sugar soft drink,2.3,coles,Fanta,Soft Drinks,,1250ml
kirks creaming soda soft drink multipack cans 10 pack,14.5,coles,Kirks,Soft Drinks,,375mlx10
kirks lemonade soft drink 10 pack,14.5,coles,Kirks,Soft Drinks,,375mlx10
coca-cola zero sugar soft drink multipack mini cans 6 pack,9.2,coles,Coca-Cola,Soft Drinks,,250mlx6
coca-cola classic soft drink multipack mini cans 6 pack,9.2,coles,Coca-Cola,Soft Drinks,,250mlx6
coca-cola soft drink coke with lime zero,2.3,coles,Coca-Cola,Soft Drinks,,1250ml
fanta raspberry flavoured soft drink bottle12 pack of 12 pack,19.0,coles,Fanta,Soft Drinks,,300ml
sprite lemonade flavoured soft drink 12 pack,19.0,coles,Sprite,Soft Drinks,,300mlx12
sprite zero sugar lemonade soft drink multipack mini cans 6 pack,9.2,coles,Sprite,Soft Drinks,,250mlx6
coca-cola zero sugar soft drink bottle,2.3,coles,Coca-Cola,Soft Drinks,,1250ml
coles soda water,1.2,coles,Coles,Soft Drinks,,1250ml
coca-cola soft drink coke,3.9,coles,Coca-Cola,Soft Drinks,,2000ml
pepsi max no sugar cola soft drink bottle,3.0,coles,Pepsi,Soft Drinks,,1250ml
pepsi max no sugar cola soft drink bottle,3.6,coles,Pepsi,Soft Drinks,,2000ml
coca-cola zero sugar soft drink bottle,3.9,coles,Coca-Cola,Soft Drinks,,2000ml
